WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-59.47705 13.0900042,-59.4764169 13.0898047)",service,,,,,,,,,,,
"LINESTRING (-59.4826211 13.0920627,-59.4826094 13.0918738,-59.4825978 13.0916861,-59.4825067 13.0910121,-59.4825013 13.0904896,-59.482571 13.0900925,-59.4826086 13.0898678,-59.4825603 13.0896849,-59.482512 13.0892513,-59.482512 13.0888385,-59.4825227 13.0886399,-59.482571 13.0881958,-59.4826689 13.0877765,-59.482736 13.0873271,-59.4827172 13.0872461,-59.482685 13.0871416,-59.4826877 13.087092,-59.482736 13.0869979,-59.4828191 13.0869013,-59.4828764 13.0867402,-59.4829371 13.0865695,-59.4830095 13.0862406)",service,,,,,,,,,,,
"LINESTRING (-59.4783408 13.1122956,-59.4781162 13.1119689)",service,yes,,,,,,,,,,
"LINESTRING (-59.4799732 13.1124449,-59.4783408 13.1122956)",service,yes,,,,,,,,,,
"LINESTRING (-59.4794205 13.1125303,-59.4790513 13.1126166)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.479199 13.1128818,-59.4790513 13.1126166,-59.4789934 13.1125175)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4786845 13.1131696,-59.4785857 13.112878,-59.4785053 13.1126899,-59.4784221 13.1125358)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4789355 13.1130318,-59.4789317 13.1131836,-59.4790015 13.1133717,-59.4791222 13.1135467)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4783801 13.1133594,-59.4784167 13.1135911,-59.4785133 13.113821,-59.4786421 13.1140065,-59.4787601 13.1141162)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4778752 13.1136435,-59.4778829 13.1138428,-59.4779366 13.114077,-59.4780386 13.1142886,-59.4781566 13.1144479,-59.4782283 13.1145118,-59.4783953 13.1146517)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4774197 13.1138494,-59.4774123 13.1140528,-59.4774138 13.1142758,-59.4774479 13.114457,-59.4775322 13.1146462,-59.477691 13.1148515)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4782283 13.1145118,-59.477691 13.1148515,-59.4775199 13.1150256,-59.4773881 13.1152036,-59.477299 13.1153611)",residential,,2nd Avenue Central Station Drive,asphalt,,,,,,,,
"LINESTRING (-59.4799732 13.1124449,-59.4797848 13.1126707,-59.4796255 13.1129041,-59.479425 13.1133443,-59.4792447 13.1138136,-59.4790483 13.1142828,-59.4789286 13.1145049,-59.4787948 13.1147293,-59.4784882 13.1151078,-59.4782349 13.1154435)",primary,,Highway 6,asphalt,60,H6,,,2,,,
"LINESTRING (-59.4780702 13.1156521,-59.478201 13.11578,-59.4782377 13.1158062,-59.478462 13.115866,-59.4786278 13.1158847)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.478201 13.11578,-59.4780709 13.115916,-59.4780749 13.1160178)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4782349 13.1154435,-59.4780702 13.1156521,-59.4779442 13.1158186,-59.4777969 13.1160511)",primary,,Highway 6,asphalt,60,H6,,,2,,,
"LINESTRING (-59.478462 13.115866,-59.4784366 13.116144)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4789229 13.1159778,-59.4788884 13.1162757)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4776354 13.1163428,-59.4787656 13.116471,-59.4788884 13.1162757,-59.4794483 13.1163008,-59.4794708 13.1160726)",residential,yes,,asphalt,,,,,,,,
"LINESTRING (-59.4777969 13.1160511,-59.4777115 13.116201,-59.4776354 13.1163428,-59.47748 13.1166411,-59.4772879 13.1170592,-59.477175 13.1173166)",primary,,Highway 6,asphalt,60,H6,,,2,,,
"LINESTRING (-59.477175 13.1173166,-59.4772062 13.1176137)",primary,,Highway 6,asphalt,60,H6,,yes,2,,,
"LINESTRING (-59.4777093 13.1172036,-59.4777235 13.1179133)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4789921 13.1180223,-59.4791004 13.117187)",residential,,,,,,,,,,,
"LINESTRING (-59.4786309 13.1179815,-59.4785357 13.1179751,-59.477924 13.1179177,-59.4777235 13.1179133)",primary,,Highway 5,asphalt,60,H5,,,2,,,
"LINESTRING (-59.4772481 13.1177082,-59.4774024 13.1178071,-59.4774885 13.1178516,-59.4775771 13.1178805,-59.4777235 13.1179133)",primary,,Highway 5,asphalt,60,H5,,yes,1,,,
"LINESTRING (-59.4777235 13.1179133,-59.4772147 13.1178729)",primary,,Highway 5,asphalt,60,H5,,yes,1,,,
"LINESTRING (-59.4307057 13.1281963,-59.4307771 13.1277376,-59.4311864 13.1273317,-59.4312545 13.1272034,-59.4319545 13.1266938,-59.432075 13.1266034,-59.4321912 13.1265161,-59.4325532 13.1261559)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4300337 13.1293624,-59.4300509 13.1294794,-59.4298535 13.1296466,-59.4296561 13.1298054,-59.4296217 13.1300813,-59.4296217 13.130332,-59.4295445 13.1305828,-59.4294157 13.1309171,-59.4294157 13.1310676,-59.4294587 13.1312598,-59.4294587 13.1315106,-59.4294672 13.1317028,-59.4295187 13.1317948,-59.4296046 13.1318951,-59.4297419 13.1320205,-59.4297472 13.1321576,-59.4296818 13.1322127,-59.4295652 13.1323433)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4300606 13.1328097,-59.4295652 13.1323433,-59.4289923 13.1318084,-59.4287212 13.1316248,-59.4279882 13.1309816)",residential,,Compton Drive,,,,,,,,,
"LINESTRING (-59.4284029 13.1327226,-59.4289179 13.1326975,-59.4290209 13.1326557,-59.4291239 13.1327142,-59.4295531 13.1331907)",service,yes,,,,,,,,,,
"LINESTRING (-59.4302431 13.132651,-59.4300606 13.1328097,-59.4298496 13.1330443)",residential,,1st,,,,,,,,,
"LINESTRING (-59.4315712 13.133052,-59.4308602 13.1324353)",residential,,2nd,,,,,,,,,
"LINESTRING (-59.4300809 13.1336545,-59.4297914 13.1334241)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4313634 13.1335563,-59.4302431 13.132651)",residential,,1st,,,,,,,,,
"LINESTRING (-59.4296841 13.1339871,-59.4293693 13.1336835)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4293066 13.1342973,-59.4289589 13.1339506)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4274331 13.1337507,-59.4280195 13.1342112,-59.4281193 13.1342785,-59.4281818 13.1342888,-59.4282415 13.1342726,-59.4283687 13.1341677,-59.4295531 13.1331907,-59.4298496 13.1330443)",residential,,Harrismith Road,,,,,,,,,
"LINESTRING (-59.4305413 13.1336661,-59.4298763 13.1341987)",residential,,,,,,,,,,,
"LINESTRING (-59.4289201 13.1346419,-59.4286423 13.134369,-59.4284729 13.1342476,-59.4283687 13.1341677)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4285596 13.1351057,-59.4283228 13.1348509)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4288757 13.1354298,-59.4295244 13.1348258)",residential,,15th Avenue,,,,,,,,,
"LINESTRING (-59.4292319 13.1358005,-59.42991 13.1351428)",residential,,14th Avenue,,,,,,,,,
"LINESTRING (-59.4261405 13.1358248,-59.4264275 13.1366385,-59.4264315 13.1366907,-59.4264302 13.1367404,-59.4263837 13.1368794)",residential,,,,,,,,,,,
"LINESTRING (-59.429629 13.1361987,-59.4303588 13.1355072)",residential,,13th Avenue,,,,,,,,,
"LINESTRING (-59.4266093 13.1370098,-59.4270535 13.1366714)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4300257 13.1365943,-59.4307047 13.135961)",residential,,12th Avenue,,,,,,,,,
"LINESTRING (-59.4304262 13.1369965,-59.4310951 13.1363638)",residential,,11th Avenue,,,,,,,,,
"LINESTRING (-59.4307992 13.137349,-59.4314384 13.1367232)",residential,,10th Avenue,,,,,,,,,
"LINESTRING (-59.4351399 13.1377615,-59.4348535 13.1375077,-59.4345617 13.137257,-59.4342184 13.136931,-59.4339008 13.1366468,-59.4335146 13.1363375,-59.4332082 13.1360653,-59.4331666 13.1360284,-59.4330425 13.1359113,-59.4326211 13.1355373,-59.4322357 13.1351841,-59.4318694 13.1348435,-59.4314632 13.134482,-59.4311542 13.1342145,-59.4310748 13.1341438,-59.4308538 13.133947,-59.4305413 13.1336661,-59.4305191 13.1336461,-59.4303347 13.133476,-59.4301929 13.1333452,-59.4299354 13.1331279,-59.4298496 13.1330443)",tertiary,,Harrismith,asphalt,60,,,,,,,
"LINESTRING (-59.4306123 13.1389995,-59.430844 13.1386401,-59.4311358 13.1383142)",residential,yes,,,,,,,,,,
"LINESTRING (-59.4314024 13.1390585,-59.430844 13.1386401)",residential,yes,,,,,,,,,,
