WKT,highway,noname,name,maxspeed,ref,surface,source_1,oneway,service,lanes
"LINESTRING (-59.4975995 13.1386538,-59.497346 13.1387776)",residential,,,,,,,,,
"LINESTRING (-59.4974413 13.1383244,-59.4974016 13.1382295,-59.4972938 13.1380896,-59.4971981 13.138015,-59.497021 13.1379404,-59.4968223 13.1379008,-59.4966129 13.1379113,-59.4964381 13.1379847,-59.4962251 13.1381071,-59.4960588 13.1381922,-59.4959223 13.1382225,-59.4957691 13.138191,-59.4956842 13.1381328,-59.4951289 13.1376666,-59.4948368 13.1373705,-59.4947787 13.1373079,-59.4944754 13.1369813,-59.4944084 13.136903,-59.494057 13.1364925,-59.4937039 13.13608)",residential,yes,,,,,,,,
"LINESTRING (-59.50088 13.1392259,-59.5008393 13.1393168,-59.5008225 13.1394683,-59.5007124 13.1395406,-59.5006095 13.1396059,-59.5005545 13.1397271,-59.5006239 13.1399811,-59.5006957 13.14017,-59.5006813 13.1403285,-59.5005281 13.1403494,-59.5003941 13.1403448,-59.5003319 13.1404077,-59.5003845 13.1404846,-59.5005257 13.1405825,-59.5007029 13.1407853,-59.5008369 13.1408692,-59.5010787 13.1409671,-59.5012366 13.1410347,-59.5013874 13.1412095,-59.5014688 13.1413331,-59.5015741 13.1415778)",service,yes,,,,,,,,
"LINESTRING (-59.5020475 13.1419888,-59.5019947 13.1419831,-59.5019116 13.1419741,-59.5018111 13.1419368,-59.5017369 13.1418435,-59.5016651 13.1417014,-59.5015741 13.1415778,-59.5013228 13.1415825,-59.5011241 13.1415778,-59.500971 13.1415801,-59.5007914 13.1415568,-59.5005952 13.1415662,-59.5004611 13.1415778,-59.5003797 13.1416314,-59.5003606 13.1417736,-59.5003917 13.1419228,-59.5004946 13.1419508,-59.5008345 13.1419834,-59.5009674 13.1420253,-59.5010469 13.1421078,-59.501096 13.1421968,-59.5011485 13.1422841,-59.5011908 13.1424357,-59.5011925 13.1425791,-59.5011942 13.142683,-59.5012346 13.1427451)",residential,yes,,,,,,,,
"LINESTRING (-59.5018178 13.1426304,-59.5017114 13.1426883,-59.5015954 13.1426859,-59.5014565 13.1426813,-59.501277 13.1427197,-59.5012346 13.1427451,-59.5011717 13.1427827,-59.50107 13.1428969,-59.5007516 13.1429295,-59.5005422 13.1429598,-59.5003016 13.1429458,-59.5001353 13.1429143)",residential,yes,,,,,,,,
"LINESTRING (-59.5005422 13.1429598,-59.5005458 13.1430752,-59.5005494 13.1431684,-59.5004057 13.143271,-59.5002633 13.1433188)",service,yes,,,,,,,,
"LINESTRING (-59.4978591 13.1402495,-59.4973956 13.1395631,-59.4973493 13.1395455,-59.4972809 13.1395625,-59.4967081 13.1398737,-59.4957434 13.1404637,-59.4951223 13.1408362,-59.4944199 13.1412417,-59.4942675 13.1413224,-59.4942303 13.1413241,-59.4941829 13.1412944,-59.4940289 13.1411049,-59.4939815 13.1410867,-59.4939189 13.1410983,-59.4934974 13.141451,-59.4931078 13.1418051)",residential,yes,,,,,,,,
"LINESTRING (-59.5955956 13.1262095,-59.5955593 13.1263996,-59.5955444 13.1265076,-59.595538 13.1266343)",primary,,Highway 3,,H3,asphalt,,yes,,2
"LINESTRING (-59.563045 13.1264672,-59.5627886 13.1265114,-59.5627489 13.1265413,-59.5627092 13.1265998,-59.5626524 13.1266684,-59.562607 13.1266993,-59.5624449 13.1267371)",service,,,,,,,,,
"LINESTRING (-59.5627693 13.1284895,-59.5627466 13.1285635)",residential,,,,,,,,,
"LINESTRING (-59.5613981 13.1256054,-59.5623139 13.1256478)",residential,yes,,,,,,,,
"LINESTRING (-59.5613085 13.12604,-59.5623044 13.1260825)",residential,yes,,,,,,,,
"LINESTRING (-59.5624547 13.1265275,-59.5612837 13.1264694)",residential,yes,,,,,,,,
"LINESTRING (-59.561262 13.1268696,-59.5612837 13.1264694,-59.5613085 13.12604,-59.5613237 13.1256705,-59.5613521 13.125623,-59.5613981 13.1256054)",residential,yes,,,,,,,,
"LINESTRING (-59.5618675 13.1269011,-59.561262 13.1268696,-59.5609697 13.1268633)",residential,yes,,,,,,,,
"LINESTRING (-59.5609822 13.1266905,-59.5609697 13.1268633,-59.5609391 13.1273123)",residential,,,,,,,,,
