WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.1573365 52.9757763,-1.1572442 52.9754813,-1.1572476 52.9754219,-1.1572485 52.9754054,-1.1572096 52.9752463,-1.1572751 52.9752396,-1.1575618 52.9752089,-1.157653 52.9751991)",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1576842 52.9737599,-1.1576051 52.9736501,-1.1573781 52.9733353,-1.1575413 52.9732927,-1.1577682 52.9736075,-1.1576051 52.9736501)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.157762 52.9769143,-1.1578264 52.9771711,-1.1575751 52.9771839)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1583808 52.9749434,-1.1582014 52.9749804,-1.1577072 52.9751108,-1.1576641 52.975145,-1.157653 52.9751991,-1.1576941 52.9752576,-1.1576972 52.9753468,-1.1577254 52.9754026,-1.1577967 52.9754781,-1.1578244 52.9755593,-1.1578203 52.9756135,-1.1578115 52.9756524,-1.1578154 52.9757056,-1.1578724 52.9758013,-1.1579108 52.9758642,-1.1578936 52.9759159,-1.1578765 52.9760089,-1.1579451 52.9760916,-1.1581108 52.9762117)",residential,Stanhope Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1583808 52.9749434,-1.1584828 52.975034,-1.1586134 52.9751329,-1.1587112 52.9752683,-1.1587358 52.9753483,-1.15879 52.9754197,-1.1588485 52.9754768,-1.1588764 52.9754938,-1.159019 52.9755809,-1.1591275 52.9756786,-1.1592074 52.9757861,-1.1592458 52.9758703,-1.1592593 52.9759375,-1.1592821 52.9760185,-1.1592315 52.9760677,-1.1590096 52.9760967,-1.158237 52.9761755,-1.1581108 52.9762117,-1.1580565 52.9762533,-1.1580206 52.9763148,-1.157878 52.9764115,-1.1577212 52.9764762,-1.1576189 52.9764923,-1.1575148 52.9764884)",residential,Jensen Way,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1574387 52.9778644,-1.1578431 52.9781165,-1.1606738 52.9778657,-1.1609324 52.9778401,-1.1614137 52.9777722)",residential,Weardale Road,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1571158 52.9795211,-1.1574201 52.9794957,-1.1581226 52.979437,-1.1584298 52.9794111,-1.1594063 52.9793297,-1.1601954 52.9792591,-1.1609837 52.9791944,-1.1611235 52.9791829,-1.1616873 52.9791341,-1.1620502 52.979109,-1.1625821 52.9790588,-1.1626623 52.9790465,-1.1627238 52.9790366,-1.1629845 52.9789377,-1.1633656 52.9787475,-1.1636291 52.9786264,-1.1638912 52.9784999,-1.1645391 52.9782115,-1.1646922 52.9781387,-1.1651833 52.977897,-1.1652529 52.9778578,-1.16536 52.9777745,-1.1654137 52.9777244,-1.1655756 52.9775644,-1.1659468 52.9771981)",tertiary,Haydn Road,asphalt,20 mph,,yes,,,,,,,,both,,,,,,,,,,,,,,
"LINESTRING (-1.157358 52.9719022,-1.157415 52.9718853,-1.1576799 52.9718069,-1.1577572 52.971784)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1578465 52.9718349,-1.1580167 52.9717843,-1.1581962 52.9720093)",service,Tremadoc Court,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1576799 52.9718069,-1.1574839 52.9715475)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1573831 52.9710529,-1.1574674 52.9711522,-1.1574209 52.9711665,-1.1573367 52.9711924)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1573946 52.9708993,-1.1574955 52.9710183,-1.1573831 52.9710529,-1.1571845 52.971114)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1578221 52.9710022,-1.1576575 52.9708131)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1581242 52.9709405,-1.1579432 52.9707194)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1614137 52.9777722,-1.1615596 52.9777102)",residential,Weardale Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1614137 52.9777722,-1.1614909 52.9778497,-1.161551 52.9779479,-1.1614566 52.9780719,-1.1612334 52.9782476,-1.1613021 52.9783768,-1.1614827 52.9787383,-1.1616873 52.9791341)",residential,Warren Avenue,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1630308 52.9773153,-1.1631697 52.977392)",residential,Linette Close,,20 mph,,,,,,,,,,,,,,,,,NG5 1DP,,,,,,,
"LINESTRING (-1.163484 52.9772596,-1.1631697 52.977392,-1.1630928 52.9774549)",residential,Linette Close,,20 mph,,,,,,,,,,,,,,,,,NG5 1DP,,,,,,,
"LINESTRING (-1.1618275 52.9758641,-1.1620107 52.9760598,-1.162116 52.9761867,-1.1622242 52.9763213,-1.1622942 52.9764106,-1.1625047 52.9766376,-1.1626149 52.9767298,-1.1627618 52.9768252,-1.1629179 52.9769123,-1.1633517 52.9771707,-1.163484 52.9772596,-1.163611 52.9774001,-1.1639369 52.9778284,-1.1640103 52.9778837,-1.1641113 52.9779279,-1.1641985 52.9779708,-1.1643385 52.9780592,-1.1645391 52.9782115)",residential,Camelot Avenue,,20 mph,,,,,,,,,,,,,,,,,NG5 1DW,,,,,,,
"LINESTRING (-1.1620107 52.9760598,-1.1621113 52.9760274)",residential,Camelot Avenue,,20 mph,,,,,,,,,,,,,,,,,NG5 1DW,,,,,,,
"LINESTRING (-1.1852034 52.9781559,-1.1846652 52.977728,-1.1846328 52.9777028,-1.1841735 52.9773263)",residential,Totland Drive,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1860717 52.9763464,-1.1855979 52.9761787)",residential,Bucklow Close,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1859834 52.9764531,-1.1860717 52.9763464,-1.1861378 52.9762664,-1.186172 52.9762419)",residential,Bucklow Close,,,,,,,,,,,,,,,,,,,,,,,,,,
