WKT,highway,name,surface,maxspeed,service,lit,oneway,access,foot,lcn,ref,bicycle,est_width,sidewalk,is_in,is_in:county,segregated,lanes,is_in:city,cycleway,addr:postcode,motor_vehicle,layer,bridge,tracktype,traffic_calming,path,abutters
"LINESTRING (-1.2292482 52.9756234,-1.2290386 52.9754779,-1.2288647 52.9753456)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2301921 52.9757785,-1.2301009 52.9757892,-1.2300528 52.975787,-1.2299651 52.9757685,-1.2298944 52.9757339,-1.2298397 52.9756739,-1.2298291 52.9756183,-1.2298388 52.975584,-1.2298794 52.9755336,-1.2299123 52.975511,-1.2299899 52.9754802,-1.2301318 52.9754684,-1.2301855 52.9754762,-1.2302996 52.9755233,-1.2303536 52.975584,-1.2303631 52.9756396,-1.2303537 52.9756719,-1.2303133 52.9757222,-1.230269 52.9757482,-1.2302467 52.9757613,-1.2301921 52.9757785)",residential,Moor Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2299123 52.975511,-1.2295427 52.9752217,-1.2291629 52.9749446,-1.2284384 52.9744149,-1.2281837 52.9742293,-1.2280788 52.9741528,-1.2277007 52.9738772,-1.2274146 52.973676,-1.2272137 52.9735328)",residential,Moor Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2298226 52.9742208,-1.2301234 52.9744588)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2315848 52.9737202,-1.2312029 52.973918,-1.2301234 52.9744588,-1.2297681 52.9746388,-1.2291629 52.9749446)",residential,Morris Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2310522 52.9729521,-1.2303702 52.9732275,-1.2295396 52.9735629,-1.228681 52.9739096,-1.2280788 52.9741528)",residential,Seagrave Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2254563 52.971289,-1.2257068 52.9716899,-1.2257485 52.9717232,-1.2258163 52.9717602,-1.2258687 52.9717787,-1.2260144 52.971801,-1.2261568 52.971818,-1.2262447 52.9718292,-1.2262894 52.9718377,-1.2263197 52.9718485,-1.2263663 52.9718634,-1.2263895 52.9718861,-1.2264123 52.9719233,-1.2264514 52.9719957,-1.2264873 52.9720807,-1.2264923 52.9720925,-1.2265226 52.9721787,-1.2265274 52.9722001,-1.2265421 52.9722655,-1.2265548 52.972333,-1.226566 52.9723835,-1.2265904 52.9724505,-1.2266714 52.9726648,-1.226714 52.972752,-1.226908 52.973149)",residential,St Martin's Road,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2272792 52.9730616,-1.2272637 52.9731762,-1.2272191 52.9733394,-1.2272088 52.9734116,-1.2272137 52.9735328)",residential,Moor Road,,20 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2272792 52.9730616,-1.2274389 52.9730243,-1.2286983 52.9727196,-1.2298478 52.9724348)",secondary,Strelley Road,asphalt,30 mph,,yes,,,,,B6004,,,both,,,,,,,,,,,,,,
"LINESTRING (-1.2306974 52.9724441,-1.2305576 52.9724304,-1.2292358 52.9727819,-1.2291242 52.9728646,-1.2291242 52.9729576,-1.2293216 52.9732574,-1.2295396 52.9735629)",residential,Goldham Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2324052 52.9762217,-1.2327249 52.9762244,-1.2328279 52.9762299,-1.2329001 52.9762454,-1.2329654 52.9762835,-1.2330118 52.9763205,-1.2330415 52.9763722,-1.2330384 52.9764156,-1.2330148 52.9764628,-1.2329723 52.9765342,-1.2329464 52.9765996,-1.2329106 52.9769948,-1.2329094 52.9770795,-1.2328931 52.9771358,-1.2328479 52.9771971,-1.2327246 52.9773253,-1.2324671 52.9775756,-1.2324205 52.9776349,-1.2323775 52.977698,-1.2323583 52.9777567,-1.2322279 52.9785502,-1.2321516 52.9790149,-1.2321305 52.979078,-1.2321129 52.9791006,-1.2320793 52.9791404,-1.2319589 52.9792124,-1.2317052 52.9793178,-1.231606 52.9793587,-1.2311965 52.9795278,-1.2308002 52.9796885,-1.2307323 52.979713,-1.230683 52.9797284,-1.2305657 52.9797411,-1.2304825 52.979746,-1.2303972 52.9797485,-1.2303363 52.979747,-1.2301439 52.9797396,-1.2300751 52.9797372,-1.2299515 52.9797226,-1.2298413 52.9796883,-1.22972 52.9796311,-1.229622 52.9795721,-1.2295436 52.9795203,-1.2288535 52.9790101,-1.2286665 52.9788671,-1.228605 52.9788036,-1.2285617 52.9787372,-1.2285434 52.9786738,-1.22854 52.9785167,-1.2285459 52.9783792,-1.2285376 52.9782848,-1.2285355 52.9782615,-1.2285178 52.9781959)",residential,Cranwell Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2341582 52.9712778,-1.2337145 52.9716068,-1.2333966 52.9718227)",cycleway,,asphalt,,,,,,yes,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.2342089 52.9716054,-1.2341754 52.9716904,-1.2341629 52.9717223,-1.234131 52.9718148)",primary,Bilborough Road,,40 mph,,,yes,,,,A6002,,,,,,,3,,,,,,,,,,
"LINESTRING (-1.121062 52.9483983,-1.1207554 52.9480897)",service,,,,parking_aisle,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.122738 52.9483817,-1.122694 52.9483786)",cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1232983 52.9481568,-1.1232987 52.9481773,-1.1232989 52.9481917,-1.1232255 52.9482483,-1.123191 52.9482612,-1.1230545 52.9482967,-1.1230244 52.9483046,-1.122694 52.9483786)",cycleway,,asphalt,,,no,,,,,,yes,1.25,,,,,,,,,,,,,,,
"LINESTRING (-1.1236354 52.9478349,-1.1235422 52.9478595)",service,,,,parking_aisle,,,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1235947 52.9475055,-1.1234982 52.9473847,-1.1234218 52.9472666,-1.123403 52.9472116,-1.1234083 52.9471809,-1.1234325 52.9471599,-1.1236559 52.9470821,-1.1237806 52.9470472)",service,,,,drive-through,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1236429 52.9474963,-1.1236559 52.9475125,-1.1237315 52.947607,-1.1238516 52.9477763,-1.1236354 52.9478349,-1.1235144 52.9476693,-1.1237315 52.947607)",service,,,,parking_aisle,,,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1238108 52.9474444,-1.123793 52.947422,-1.1237071 52.947314,-1.1238552 52.9472722,-1.1239468 52.9472444)",service,,,,parking_aisle,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1240443 52.9473734,-1.1238108 52.9474444,-1.1236429 52.9474963,-1.1235947 52.9475055,-1.1234209 52.9475056,-1.1233455 52.9474977,-1.1233058 52.9474987,-1.1232573 52.9475)",service,,,,parking_aisle,,,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1247431 52.947188,-1.1244034 52.9472759,-1.1240443 52.9473734)",service,,,,parking_aisle,,yes,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1248005 52.9483706,-1.1248308 52.94832,-1.1248215 52.948268,-1.1247888 52.9482301,-1.1245744 52.9481778)",path,,,,,,,,,,,,,,,,,,,,,,,,,,desire,
"LINESTRING (-1.1238397 52.9483283,-1.1238799 52.9483195,-1.1241733 52.9482652,-1.1242461 52.9482556,-1.12433 52.9482354,-1.1244496 52.9482127,-1.1245744 52.9481778,-1.1247015 52.9481318,-1.1248178 52.9480041,-1.1251032 52.9479608)",cycleway,,gravel,,,no,,,yes,,,permissive,1.25,,,,,,,,,,,,,,,
"LINESTRING (-1.1232809 52.9479841,-1.1233277 52.9479838,-1.1234052 52.9479808,-1.1236325 52.9479834,-1.1241723 52.9478265,-1.1249596 52.9476073,-1.1254275 52.9474869,-1.1256139 52.9474105,-1.1254173 52.9470201)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1234402 52.9467031,-1.1235005 52.9467284,-1.1235359 52.9467591,-1.1235539 52.9467879,-1.1235551 52.9468275,-1.1235457 52.9468497,-1.1234977 52.9468966,-1.1234199 52.9469256,-1.1233305 52.9469309,-1.1232728 52.9469208,-1.1232364 52.9469083,-1.1232192 52.9468975,-1.1231936 52.9468813,-1.1231724 52.9468583,-1.12316 52.9468332,-1.1231569 52.946807,-1.1231763 52.9467598,-1.123225 52.9467211,-1.1232952 52.9466971,-1.1233747 52.9466919,-1.1234402 52.9467031)",primary,Daleside Road,asphalt,40 mph,,yes,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1239468 52.9472444,-1.1243082 52.9471469,-1.1246533 52.9470609)",service,,,,parking_aisle,,yes,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1240443 52.9473734,-1.1239468 52.9472444,-1.1238322 52.9471211,-1.1237806 52.9470472,-1.1237318 52.9469934,-1.1241119 52.9468917,-1.1244522 52.9468034,-1.124544 52.9469181,-1.1246533 52.9470609,-1.1247431 52.947188)",service,,,,parking_aisle,,yes,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1238322 52.9471211,-1.1242021 52.9470113,-1.124544 52.9469181)",service,,,,parking_aisle,,yes,destination,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1402615 52.9494215,-1.1397268 52.9494349,-1.1395092 52.9494558,-1.139451 52.9494614)",unclassified,City Link,,,,,,,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1402721 52.9491137,-1.140257 52.9487613)",trunk,London Road,asphalt,30 mph,,yes,yes,,,,A60,,,left,,,,2,,,,,1,yes,,,,
"LINESTRING (-1.1402867 52.9498835,-1.1402386 52.9496746,-1.1402362 52.9495414,-1.1402615 52.9494215,-1.1402721 52.9491137)",trunk,London Road,asphalt,30 mph,,yes,yes,,,,A60,,,left,,,,2,,,,,,,,,,
"LINESTRING (-1.1403668 52.9486297,-1.1403707 52.9487588)",trunk,London Road,asphalt,30 mph,,,yes,,,,A60,,,both,,,,5,,,,,1,,,,,
"LINESTRING (-1.1403707 52.9487588,-1.1403713 52.9489268)",trunk,London Road,asphalt,30 mph,,,yes,,,,A60,,,both,,,,6,,,,,1,yes,,,,
"LINESTRING (-1.1403713 52.9489268,-1.1403766 52.949116)",trunk,London Road,asphalt,30 mph,,,yes,,,,A60,,,both,,,,6,,,,,,yes,,,,
"LINESTRING (-1.1403766 52.949116,-1.1403912 52.9493803,-1.1404177 52.949418,-1.1404718 52.9494753,-1.1405179 52.9495017,-1.1406061 52.9495522,-1.1408066 52.9496506)",trunk,London Road,asphalt,30 mph,,yes,yes,,,,A60,,,left,,,,4,,,,,,,,,,
"LINESTRING (-1.1402867 52.9498835,-1.1403271 52.9497639,-1.1404136 52.9496692,-1.1404793 52.9496412,-1.1405414 52.9496316,-1.1406322 52.9496265,-1.140701 52.9496282,-1.1408066 52.9496506)",primary,BBC Island,asphalt,30 mph,,yes,,,,,A60,,,left,,,,1,,,,,,,,,,
"LINESTRING (-1.1408066 52.9496506,-1.1408854 52.9496939,-1.1409521 52.9497716,-1.1409662 52.9498218,-1.1409793 52.9498648,-1.1409803 52.9498996,-1.1409684 52.9499507,-1.140942 52.9500012,-1.1408878 52.9500546)",trunk,BBC Island,asphalt,30 mph,,yes,,,,,A60,,,left,,,,,,,,,,,,,,
"LINESTRING (-1.1415755 52.9491801,-1.1413999 52.9492392,-1.1412427 52.9492753,-1.1410922 52.9493085,-1.1409793 52.9493446,-1.140919 52.949358,-1.1406861 52.949374,-1.1403912 52.9493803)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1418274 52.9498137,-1.1418649 52.9498632)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1417778 52.9497582,-1.1418274 52.9498137)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1422212 52.9499706,-1.1421613 52.9498223,-1.1421571 52.9498103,-1.1421523 52.9497932)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.143139 52.9493346,-1.1429507 52.9493956,-1.1427237 52.9494499,-1.142628 52.9494761,-1.142295 52.9495852,-1.1420501 52.949669,-1.1418996 52.9497186,-1.1417778 52.9497582,-1.1414796 52.9498566,-1.1412495 52.9499309,-1.141067 52.9499926,-1.1408878 52.9500546)",primary,Canal Street,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1421523 52.9497932,-1.1421035 52.9497212)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1421035 52.9497212,-1.1420501 52.949669)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1424148 52.9497593,-1.1421613 52.9498223)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1408854 52.9496939,-1.1411541 52.9497875,-1.1412553 52.9498048,-1.141358 52.9497965,-1.1418281 52.9496466,-1.142083 52.9495642,-1.1421616 52.9495388,-1.1423161 52.9494917,-1.1427491 52.9493699,-1.142903 52.9493449,-1.143139 52.9493346)",primary,Canal Street,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.141987 52.949425,-1.1420369 52.9494943,-1.142083 52.9495642)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.140257 52.9487613,-1.1402537 52.9486297,-1.140241 52.9484168,-1.1402169 52.948316)",trunk,London Road,asphalt,30 mph,,yes,yes,,,,A60,,,left,,,,2,,,,,,,,,,
"LINESTRING (-1.140354 52.9483819,-1.1403668 52.9486297)",trunk,London Road,,,,,yes,,,,A60,,,,,,,,,,,,1,,,,,
"LINESTRING (-1.1407975 52.9480481,-1.1408274 52.9481098,-1.1408518 52.9481466,-1.1410594 52.9485493,-1.1410771 52.9485768)",pedestrian,Waterfront Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1465422 52.9537614,-1.1466461 52.9544095,-1.1466455 52.9544379,-1.1466439 52.9544501,-1.1466329 52.954466)",unclassified,Thurland Street,asphalt,,,,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (-1.144129 52.9518422,-1.1440198 52.951526,-1.1439792 52.9514085,-1.143966 52.9513699,-1.1437602 52.9508822)",pedestrian,Saint Mary's Gate,paving_stones,,,,yes,,yes,,,yes,,,,,,,,,,no,,,,,,
"LINESTRING (-1.1422828 52.9510504,-1.1423593 52.9510365,-1.1429601 52.9509376,-1.1431505 52.9509137,-1.1433531 52.9508945,-1.1434378 52.9508904,-1.143591 52.9508829,-1.1437602 52.9508822)",unclassified,High Pavement,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1431797 52.9506924,-1.1429221 52.950713,-1.1428178 52.9507259)",service,Commerce Square,cobblestone,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1456341 52.950411,-1.1455203 52.950386,-1.145225 52.9503583,-1.1446976 52.9503592,-1.1444357 52.9503617,-1.1441006 52.9503635,-1.143805 52.9503691,-1.1435864 52.9503807,-1.1434142 52.9503896,-1.1431936 52.9504039,-1.1429045 52.9504246,-1.1427148 52.9504373,-1.1423374 52.9504612,-1.1422454 52.9504589,-1.1421369 52.9504441,-1.1420352 52.9504227,-1.1419472 52.9503949,-1.1418937 52.9503716,-1.1418248 52.9503272,-1.1417773 52.9502866,-1.1417305 52.9502309,-1.1416316 52.9500789,-1.1415207 52.9499168,-1.1414796 52.9498566)",residential,Cliff Road,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1437602 52.9508822,-1.1439411 52.9508957,-1.1441218 52.9509102,-1.1441617 52.9509157,-1.1444401 52.950954,-1.144827 52.9510223,-1.1449595 52.9510528,-1.1451635 52.9510973,-1.1453037 52.9511361,-1.1453466 52.9511465)",unclassified,High Pavement,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1445445 52.9506669,-1.144532 52.9507042,-1.1444624 52.9508943,-1.1444401 52.950954)",service,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.144736 52.9512846,-1.1447631 52.9511951,-1.144827 52.9510223)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1449595 52.9510528,-1.1450392 52.9508746,-1.1450598 52.9508266)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1450578 52.9505586,-1.1450527 52.9507367,-1.1450643 52.9507833,-1.1450598 52.9508266)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1434911 52.9497964,-1.1433852 52.9498163,-1.1431119 52.9498667,-1.142986 52.9496229)",service,,,,,,,private,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1430846 52.9499522,-1.1434363 52.9498854,-1.1435221 52.9498584,-1.1436747 52.9498309,-1.1440779 52.9497557)",service,Shortwood Close,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1435221 52.9498584,-1.1434911 52.9497964,-1.1434068 52.9496288,-1.1432687 52.9493163)",residential,Shortwood Close,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1434068 52.9496288,-1.1440557 52.9495219)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.143139 52.9493346,-1.1432687 52.9493163,-1.1440017 52.9492124,-1.1442482 52.9491773,-1.144294 52.9491686)",primary,Canal Street,,30 mph,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1447884 52.9490905,-1.1447313 52.9491016,-1.1446014 52.9491226,-1.144294 52.9491686)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1448419 52.9490837,-1.1447884 52.9490905)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.144294 52.9491686,-1.1444691 52.9491163,-1.1450473 52.9490197,-1.1452549 52.9489721,-1.145391 52.9489542,-1.1455165 52.9489356)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.1455282 52.9489975,-1.1455048 52.948999,-1.145306 52.9490267,-1.1451895 52.9490392,-1.1448419 52.9490837)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1445138 52.9487733,-1.1448696 52.9487208,-1.1449589 52.9487067,-1.1451417 52.9486792,-1.1451244 52.9487601,-1.1451229 52.9487673,-1.1450987 52.9488077,-1.1450719 52.9488352,-1.145029 52.9488691,-1.1449589 52.9487067)",service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1450473 52.9490197,-1.1451256 52.9489808,-1.1451975 52.9489076,-1.1452439 52.9488583,-1.145292 52.9487994,-1.1453135 52.9487734,-1.1453474 52.9487296)",unclassified,Trent Street,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1451244 52.9487601,-1.145292 52.9487994)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.145466 52.9509453,-1.1453476 52.9510841,-1.1453037 52.9511361)",service,Heritage Mews,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1456618 52.9507525,-1.1455802 52.9508778,-1.1454925 52.9509114,-1.145466 52.9509453)",service,Heritage Mews,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1461742 52.9510903,-1.1461696 52.9509305,-1.1461668 52.9508236,-1.146172 52.9507075,-1.1461703 52.9506887)",pedestrian,,,,,,,,yes,,,yes,,,,,,,,,,no,,,,,,
"LINESTRING (-1.1462218 52.9506462,-1.1462241 52.9506992,-1.1462262 52.9507161,-1.1462268 52.9507283,-1.1462285 52.9507528,-1.1462426 52.9509611,-1.1462508 52.9510817,-1.1462535 52.9511452)",tertiary,Middle Hill,,,,,,,,,,,,,,,,,,track,,,,,,,,
"LINESTRING (-1.1459455 52.9505936,-1.145882 52.9505146)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.145882 52.9505146,-1.1458249 52.9504772,-1.1457561 52.950451,-1.1456341 52.950411)",service,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1461276 52.9506448,-1.1461423 52.950669,-1.1461703 52.9506887)",footway,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,
"LINESTRING (-1.1461108 52.9504461,-1.1460923 52.9504646,-1.1460485 52.9504823,-1.1460327 52.9504883,-1.1460042 52.950499,-1.1460224 52.9505197,-1.1461014 52.9506019,-1.1461276 52.9506448)",footway,,,,,,,,,,,yes,,,,,,,,,,,1,yes,,,,
"LINESTRING (-1.1462254 52.9504544,-1.1462218 52.9506462)",tertiary,Middle Hill,,,,,,,,,,,,,,,,,,,,,1,yes,,,,
"LINESTRING (-1.1461072 52.9503869,-1.1461108 52.9504461)",footway,,,,,,,,,,,yes,,,,,,,,,,,1,yes,,,,
"LINESTRING (-1.1461108 52.9504461,-1.1462254 52.9504544)",cycleway,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1465739 52.9500392,-1.1466426 52.9503654,-1.1466622 52.9504058,-1.1466969 52.9504904,-1.1467204 52.9506303)",service,,,,,,,private,,,,,,,,,,,,,,,2,,,,,
"LINESTRING (-1.1462514 52.9500796,-1.14623 52.9503686,-1.1462253 52.9504429,-1.1462254 52.9504544)",tertiary,Middle Hill,,,,,,,,,,,,,,,,,,,,,1,yes,,,,
"LINESTRING (-1.1457309 52.9491039,-1.1457653 52.9491722,-1.1457999 52.9494124,-1.1458034 52.949437,-1.1458215 52.9495235,-1.1458579 52.9495668,-1.1459284 52.9499413,-1.1459822 52.9502272,-1.145999 52.9503007,-1.1460187 52.9503343,-1.1459043 52.9503615,-1.1456341 52.950411)",footway,Sussex Street,asphalt,,,,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (-1.1462514 52.9500796,-1.1462607 52.9498191,-1.1462355 52.9496628)",tertiary,Middle Hill,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,
"LINESTRING (-1.1465676 52.9497571,-1.1464639 52.9498089,-1.1463659 52.9499032,-1.1462514 52.9500796)",tertiary,Middle Hill,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,
"LINESTRING (-1.1462355 52.9496628,-1.1462242 52.9495929)",tertiary,Middle Hill,,,,,yes,,,,,,,,,,,,,lane,,,,yes,,,,
"LINESTRING (-1.1465676 52.9497571,-1.1464263 52.9497275,-1.1463475 52.949698,-1.1462868 52.9496648,-1.1462242 52.9495929,-1.1460822 52.949335)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,,yes,,,,
"LINESTRING (-1.1456859 52.9490013,-1.1456839 52.9490009,-1.1456313 52.9489945,-1.1455826 52.9489952,-1.1455282 52.9489975)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,-1,,,,,
"LINESTRING (-1.1460822 52.949335,-1.1459843 52.9492516,-1.1459539 52.9492062,-1.1458828 52.949117,-1.1458586 52.9490931,-1.1458305 52.9490706,-1.1458022 52.9490523,-1.1457207 52.9490097,-1.1457136 52.9490067,-1.1456859 52.9490013)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1453474 52.9487296,-1.1453455 52.948791,-1.1453762 52.9488517,-1.1454157 52.9488803,-1.1455109 52.948906)",unclassified,,,,,,yes,yes,yes,,,yes,,,,,,,,,,no,,,,,,
"LINESTRING (-1.1455109 52.948906,-1.1455809 52.948926)",unclassified,,,,,,yes,yes,yes,,,yes,,,,,,,,,,no,-1,,,,,
"LINESTRING (-1.1455165 52.9489356,-1.1455809 52.948926,-1.1456387 52.9489204,-1.1456691 52.9489163)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,,,2,,,,,-1,,,,,
"LINESTRING (-1.1453474 52.9487296,-1.1453576 52.9486733,-1.1453506 52.9486177)",unclassified,Trent Street,,,,,yes,,,,,,,,,,,,,opposite_lane,,,,,,,,
"LINESTRING (-1.1453474 52.9487296,-1.1454839 52.9487448,-1.1457194 52.9487372,-1.1459856 52.948694,-1.1458897 52.9484977)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1456691 52.9489163,-1.1458102 52.9489011,-1.1459598 52.9488897,-1.1460807 52.9488835,-1.1461973 52.9488755)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,,,2,,,,,,,,,,
"LINESTRING (-1.14566 52.9485086,-1.1457194 52.9487372)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1460822 52.949335,-1.1460613 52.9492685,-1.1460378 52.9491968,-1.1460089 52.9491334,-1.1459918 52.9490732,-1.1459903 52.949022,-1.146023 52.9489754,-1.1460661 52.948941,-1.1460992 52.9489171,-1.1461604 52.9488862,-1.1461973 52.9488755)",primary,Middle Hill,,30 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1461973 52.9488755,-1.146237 52.9488721)",primary,Canal Street,,30 mph,,,yes,,,,,yes,,,,,,,,lane,,,,,,,,
"LINESTRING (-1.146237 52.9488721,-1.1465975 52.948858)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,,,,,lane,,,,,,,,
"LINESTRING (-1.1482158 52.9496337,-1.1480194 52.9496498,-1.1477907 52.9496677,-1.1470776 52.9497185,-1.1465676 52.9497571)",primary,Collin Street,,30 mph,,,yes,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1465975 52.948858,-1.1468818 52.9488539,-1.1470942 52.948846)",primary,Canal Street,,30 mph,,,yes,,,,,,,,,,,,,lane,,,,,,,,
"LINESTRING (-1.1417181 52.9479725,-1.1417271 52.9480066,-1.141893 52.9487428,-1.1420855 52.9487618,-1.14333 52.9486622,-1.1437649 52.9486274,-1.1438489 52.9486111,-1.1439293 52.948582,-1.1439613 52.948552,-1.1438277 52.947884,-1.1438058 52.94779)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.1442894 52.9484644,-1.1442814 52.9484901,-1.144268 52.948508,-1.1442224 52.9485325,-1.1441864 52.9485435,-1.1439613 52.948552)",service,,,,,,,,,,,,,,,,,,,,,,,,,,,
