WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.5728575 13.2660803,-59.5746164 13.2663965,-59.5748839 13.2663569,-59.5749869 13.2658891,-59.5752444 13.2653628,-59.575519 13.2649284,-59.5757508 13.264636,-59.5758108 13.2646026,-59.5758881 13.2645608,-59.5760512 13.2645859,-59.57624 13.264636,-59.5764975 13.2647112,-59.5767893 13.2647112,-59.5770983 13.2646945,-59.57733 13.2646694,-59.5774931 13.2646694,-59.5776648 13.2647446,-59.5779051 13.26492,-59.578307 13.2652705,-59.5786246 13.2654041,-59.5790452 13.2655044,-59.579234 13.2655378,-59.5794915 13.2654793,-59.5795945 13.2654125,-59.579749 13.2654209,-59.5799121 13.2655211,-59.5804185 13.2658051,-59.5808819 13.2660641,-59.5809764 13.2661894,-59.5810364 13.2663732,-59.5811223 13.2667575,-59.5811223 13.2669914,-59.5811566 13.2672086,-59.5813197 13.2674258,-59.5814828 13.2675678,-59.5817403 13.2679103,-59.5820321 13.2686204,-59.5823153 13.2690715,-59.5827359 13.269531)",track,yes,,,,,,,,,
"LINESTRING (-59.5748113 13.2687366,-59.57498 13.2687909,-59.5750806 13.2687156,-59.5751502 13.2685097,-59.5754712 13.2684247,-59.5758478 13.2683344,-59.5761315 13.2681887,-59.5770602 13.2681385,-59.5771479 13.2680532,-59.5772562 13.2680481,-59.5775967 13.2682841)",track,yes,,,,,,,,,
"LINESTRING (-59.5740109 13.268292,-59.5741032 13.2682589,-59.5742024 13.2682654,-59.574291 13.268315,-59.5744063 13.2683803,-59.5745002 13.268486,-59.5745672 13.2685434,-59.574708 13.2686165,-59.574763 13.2686635,-59.5748113 13.2687366,-59.574767 13.2688088,-59.5746611 13.2689726)",track,yes,,,,,,,,,
"LINESTRING (-59.5668971 13.2670884,-59.5671766 13.2671637,-59.5672809 13.2671918,-59.5677509 13.2671716,-59.5679354 13.267226,-59.5683557 13.2672482,-59.5693617 13.2672462,-59.5694632 13.2672623,-59.5700098 13.2671817,-59.5703935 13.2671454,-59.5708635 13.2671212,-59.5713046 13.2670587,-59.5716027 13.2670124,-59.5720977 13.2669298)",track,,,,,,,,,,
"LINESTRING (-59.5666872 13.259331,-59.5665695 13.2593578,-59.5662113 13.2593637,-59.566178 13.2593883,-59.566139 13.2594448)",track,yes,,,,,,,,,
"LINESTRING (-59.5672731 13.2556455,-59.5671357 13.2557117,-59.5670269 13.2558233,-59.5666964 13.2566252,-59.5665585 13.2571085,-59.5665361 13.257365,-59.5664978 13.2576476,-59.566426 13.2580549,-59.5664395 13.2583296,-59.5665294 13.2586508,-59.5666273 13.2589627,-59.5666554 13.259152,-59.5666872 13.259331,-59.5668139 13.259866,-59.5669424 13.2604678,-59.5670593 13.2610658,-59.5672567 13.2617926,-59.5674112 13.2620433,-59.5676343 13.2622772,-59.5677202 13.262486,-59.5676944 13.2627366,-59.5675399 13.2629121,-59.5672824 13.263146,-59.5669477 13.2632797,-59.5665786 13.2634802,-59.5655401 13.2642153,-59.5645702 13.2649087,-59.5644414 13.2651092,-59.5642783 13.2653849,-59.5639608 13.2655269,-59.5635059 13.2656856,-59.5631454 13.2657024,-59.562639 13.2656105,-59.5622699 13.2653598,-59.5619523 13.2651259,-59.5617378 13.2648252,-59.5616348 13.2642822,-59.5617893 13.2637057,-59.5618579 13.2632379,-59.5619609 13.2628285)",track,yes,,,,,,,,,
"LINESTRING (-59.5687546 13.2646665,-59.5669027 13.2662154,-59.5668437 13.2662318,-59.5667237 13.2662652,-59.5666343 13.2662714,-59.5664682 13.2664082,-59.5662512 13.2667589)",track,yes,,,,,,,,,
"LINESTRING (-59.5671766 13.2671637,-59.5671564 13.2670778,-59.5671701 13.2669289,-59.56711 13.2668597,-59.5669461 13.2667454,-59.566875 13.2666124,-59.5667849 13.2663199,-59.5668437 13.2662318)",track,,,,,,,,,,
"LINESTRING (-59.5670536 13.2673658,-59.5672809 13.2671918)",track,,,,,,,,,,
"LINESTRING (-59.5664393 13.2677691,-59.566377 13.2677188,-59.5662319 13.2676864,-59.5660606 13.2677026,-59.5658442 13.2678021,-59.5656444 13.2678646,-59.565378 13.2678878,-59.5651996 13.267904,-59.565133 13.2678646,-59.5651211 13.2677766,-59.5651829 13.2676632,-59.5653566 13.267515,-59.5654826 13.267353,-59.5656539 13.2672627,-59.5657918 13.2671909,-59.5659155 13.2670659,-59.5660035 13.2670289,-59.566063 13.2668992,-59.5661272 13.2668228,-59.5662512 13.2667589)",track,,,,,,,,,,
"LINESTRING (-59.567017 13.2674783,-59.5669533 13.2674236,-59.5668659 13.2674356,-59.5667894 13.2674901,-59.5667129 13.2675818,-59.5666569 13.2676629,-59.5665968 13.2677241,-59.5664684 13.2677653,-59.5664393 13.2677691,-59.5662512 13.2677932)",track,,,,,,,,,,
"LINESTRING (-59.5669785 13.2683711,-59.5670121 13.2684624,-59.5670012 13.2685395,-59.5669137 13.268606,-59.5666351 13.2687416,-59.5665066 13.2688426,-59.566446 13.2690531)",track,,,,,,,,,,
"LINESTRING (-59.565133 13.2678646,-59.5649956 13.2678767,-59.5648118 13.2679574,-59.5646207 13.2680416,-59.5642422 13.2681259)",track,,,,,,,,,,
"LINESTRING (-59.5663287 13.2687643,-59.5662362 13.2688373,-59.566064 13.2689011,-59.565758 13.268957,-59.5653427 13.2689889,-59.5651569 13.2689995,-59.5650312 13.2690341,-59.5647771 13.2690394,-59.564605 13.2691112)",track,,,,,,,,,,
"LINESTRING (-59.5783099 13.2761001,-59.5781927 13.2760486,-59.5781192 13.2760325,-59.5780157 13.2760718,-59.5779608 13.2760849,-59.5778614 13.2760476,-59.5778097 13.2760486,-59.5775232 13.2760325,-59.577457 13.2760173,-59.5773959 13.275978,-59.5773534 13.2759216,-59.5772732 13.2758642,-59.5771243 13.2757738,-59.5769986 13.2757286,-59.5769235 13.275698,-59.5768408 13.2756196,-59.5766454 13.2755478,-59.5765484 13.2755039,-59.5764268 13.2755012,-59.5763681 13.2754906,-59.5760307 13.2753324,-59.5759583 13.2752539,-59.5757889 13.2750532,-59.5757124 13.2749747,-59.5753326 13.2747872,-59.5751809 13.2747327,-59.5750634 13.2747048,-59.5749596 13.2747208,-59.5748913 13.2747208,-59.5747943 13.2746702,-59.5744596 13.274383,-59.5742615 13.27427,-59.5742233 13.2742288,-59.5741878 13.2741251,-59.5741864 13.2740267,-59.5742369 13.2740028,-59.5743107 13.2740214,-59.5744036 13.2740732,-59.5745088 13.2741636,-59.5746673 13.274286,-59.5747574 13.2743338,-59.5748326 13.2743445,-59.5749514 13.2743418,-59.5750798 13.2743086,-59.5752233 13.2742461,-59.5756436 13.27402)",track,,,,,,,,,,
"LINESTRING (-59.5761316 13.2802713,-59.5760337 13.2802615,-59.5759639 13.2802171,-59.5758754 13.2801831,-59.5757252 13.2801701,-59.5755804 13.2801988,-59.5749823 13.2804651,-59.5747677 13.280593,-59.5746041 13.2807731,-59.5743975 13.2810342,-59.5742473 13.2811934,-59.5741803 13.2812482,-59.5741454 13.2813109,-59.5741427 13.2814074,-59.5741334 13.2815479)",track,,,,,,,,,,
