WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-59.6257426 13.2709342,-59.6257143 13.2706992,-59.6256911 13.269903,-59.6256536 13.2695845,-59.6256375 13.2694331,-59.6256589 13.2692791,-59.6256965 13.2691709,-59.6258386 13.2690389,-59.6260049 13.2688822,-59.6261551 13.268748,-59.6261713 13.2686001,-59.626182 13.2684881,-59.626182 13.2683582,-59.626182 13.2681643,-59.626182 13.2679033,-59.6262388 13.2668565)",residential,,Leslie Gardens,,,,,,,,
"LINESTRING (-59.6257426 13.2709342,-59.6257849 13.2714873)",residential,yes,,,,,,,,,
"LINESTRING (-59.6245405 13.271485,-59.6257849 13.2714873,-59.6265495 13.2714767)",residential,yes,,,,,,,,,
"LINESTRING (-59.6231511 13.2718622,-59.6231332 13.2719162,-59.6231547 13.2719658,-59.6231899 13.2720267,-59.6232419 13.2720885,-59.6233067 13.2721324,-59.6234488 13.272182,-59.6235641 13.2722264,-59.6237086 13.2722295,-59.6238324 13.2721951,-59.624122 13.2721429,-59.6243044 13.2720802,-59.6246585 13.2720698,-59.6250876 13.2721115,-59.625549 13.2721115,-59.6258923 13.2721115,-59.6261283 13.2720593,-59.6262142 13.2720385,-59.6263 13.2719967,-59.6263858 13.2717356,-59.6264287 13.2716416,-59.6264717 13.2715477,-59.6265495 13.2714767,-59.6266755 13.271391,-59.6267613 13.271237,-59.6267291 13.2710595,-59.6266648 13.2709629,-59.6265038 13.270942,-59.6257426 13.2709342,-59.6253451 13.2709942,-59.624798 13.2710255,-59.62435 13.2710438,-59.6242454 13.2711145,-59.624122 13.2714486,-59.6240549 13.2716131,-59.6238967 13.271767,-59.6236419 13.2718831,-59.6233089 13.2718431,-59.6232043 13.2718366,-59.6231511 13.2718622)",residential,,Carpenter's Circle,,,,,,,,
"LINESTRING (-59.6226893 13.2721825,-59.6226813 13.2721672,-59.6226652 13.2721564,-59.622346 13.2721198)",residential,,,,,,,,,,
"LINESTRING (-59.6197364 13.2720954,-59.620806 13.2720997,-59.6208835 13.2720885)",residential,yes,,asphalt,,,,,,,
"LINESTRING (-59.6173088 13.2715155,-59.6170621 13.2718627,-59.6169306 13.2721353)",residential,,,,,,,,,,
"LINESTRING (-59.5824896 13.2970604,-59.5814296 13.2975401,-59.5811464 13.2977406,-59.5808202 13.2979076,-59.5804254 13.2978742)",residential,yes,,,,,,,,,
"LINESTRING (-59.582743 13.2974103,-59.5825274 13.2975056,-59.5824094 13.2975891,-59.5823531 13.2976805,-59.5823021 13.2977771,-59.5822029 13.2978449,-59.582117 13.2979128,-59.5820956 13.2979807)",residential,,,,,,,,,,
"LINESTRING (-59.583603 13.2986458,-59.583375 13.298722,-59.5831095 13.2987846,-59.5828815 13.298816,-59.5826106 13.2989152,-59.5825006 13.2989674)",service,,,,,,,,,,
"LINESTRING (-59.5831698 13.30338,-59.5830196 13.3034766,-59.5829176 13.3036149,-59.5828533 13.3037246,-59.5828014 13.3038291)",service,,,,,,,,,,
"LINESTRING (-59.5808654 13.3053548,-59.5799841 13.3056898)",residential,yes,,,,,,,,,
"LINESTRING (-59.5832354 13.3046874,-59.5823773 13.3046605,-59.5810383 13.3052847,-59.5808654 13.3053548)",residential,yes,,,,,,,,,
"LINESTRING (-59.5799841 13.3056898,-59.5788312 13.306118)",residential,,,,,,,,,,
"LINESTRING (-59.5808654 13.3053548,-59.5810236 13.3059099)",residential,yes,,,,,,,,,
"LINESTRING (-59.5849629 13.3049127,-59.5846383 13.305001,-59.5843484 13.3050826,-59.5841099 13.3050962,-59.5839005 13.3050743,-59.5833758 13.3050114,-59.5832354 13.3046874,-59.5829896 13.3040145,-59.5829496 13.3039132,-59.582864 13.3038498,-59.5828014 13.3038291,-59.5827726 13.3038196,-59.5826655 13.3038029,-59.5825776 13.3037974,-59.5823933 13.3037546,-59.5821445 13.3036552,-59.5801679 13.3028049,-59.5791596 13.3024875)",residential,,Cove Bay Road,,40,,,,,,
"LINESTRING (-59.5810383 13.3052847,-59.5812273 13.3059394)",residential,,,,,,,,,,
"LINESTRING (-59.5799841 13.3056898,-59.5801817 13.3061737,-59.5801681 13.3062082)",service,yes,,,,,,,,,
"LINESTRING (-59.5810236 13.3059099,-59.5810579 13.3059393,-59.5810981 13.3059537,-59.5812273 13.3059394,-59.5814254 13.3058728,-59.5814629 13.305876,-59.5814932 13.3058946)",residential,yes,,,,,,,,,
"LINESTRING (-59.5801681 13.3062082,-59.5801339 13.3062291,-59.5798053 13.3063309)",service,yes,,,,,,,,,
"LINESTRING (-59.5814932 13.3058946,-59.5816046 13.3062255,-59.5817577 13.3066514)",residential,yes,,,,,,,,,
"LINESTRING (-59.5833758 13.3050114,-59.5828609 13.3060275,-59.5817577 13.3066514)",residential,,Little Bay Road,,40,,,,,,
"LINESTRING (-59.5817757 13.306705,-59.5807249 13.3072171,-59.5801967 13.3074185)",residential,yes,,,,,,,,,
"LINESTRING (-59.5816046 13.3062255,-59.5802592 13.3068393,-59.5795966 13.3070522,-59.5795367 13.3070852,-59.5795188 13.3071369,-59.579534 13.3074971,-59.5795939 13.3075841,-59.5796572 13.30762,-59.5797957 13.3076441,-59.5798643 13.3076409,-59.5799622 13.30761,-59.5800746 13.3075638,-59.5801967 13.3074185)",residential,yes,,,,,,,,,
"LINESTRING (-59.5824478 13.3081089,-59.5824384 13.3080703,-59.5824416 13.3080082,-59.5825337 13.307449,-59.5825929 13.3072332,-59.5826085 13.306967,-59.5826175 13.306814,-59.5826538 13.3066116,-59.5828609 13.3060275)",residential,yes,,,,,,,,,
"LINESTRING (-59.5824478 13.3081089,-59.5824821 13.3081304,-59.5825225 13.3081387,-59.582713 13.3081294,-59.5827961 13.3081169,-59.5828887 13.3080931,-59.5829568 13.3080921,-59.5830302 13.3081035,-59.5831505 13.3081055,-59.5831974 13.3080859,-59.5832155 13.3080568,-59.5832218 13.3080258,-59.5832165 13.3079864,-59.5831899 13.3079129,-59.5831601 13.3078051,-59.5831474 13.307649)",residential,,,,,,,,,,
"LINESTRING (-59.5846022 13.3084347,-59.5845421 13.3091112,-59.5846007 13.3091499,-59.5846633 13.3091785)",residential,yes,,,,,,,,,
"LINESTRING (-59.5851628 13.3075535,-59.5850571 13.3090945)",residential,yes,,,,,,,,,
"LINESTRING (-59.5881502 13.3091341,-59.5881502 13.3088451,-59.5881459 13.3087851,-59.5881246 13.308725,-59.5881119 13.3086607,-59.5881172 13.3085893,-59.5881385 13.3085447)",residential,,,,,,,,,,
"LINESTRING (-59.5874356 13.3074391,-59.5874882 13.3088141,-59.5875108 13.3094234)",residential,yes,,,,,,,,,
"LINESTRING (-59.5866535 13.3075242,-59.5866965 13.3097627)",residential,yes,,,,,,,,,
"LINESTRING (-59.5817577 13.3066514,-59.5817757 13.306705,-59.5818481 13.3069797,-59.5818461 13.3070578,-59.5818011 13.3071298,-59.5811339 13.3075495,-59.5806966 13.3078229,-59.5804063 13.307976,-59.5803494 13.3080275,-59.5803287 13.3082022,-59.5802851 13.3082507,-59.5802321 13.3082648,-59.5801061 13.3082909,-59.5799854 13.3083144,-59.5798016 13.3083797,-59.5798325 13.3084397,-59.5798673 13.3085258,-59.5799344 13.3086015,-59.5800176 13.308625,-59.580153 13.3086381,-59.5803045 13.308642,-59.5804078 13.3086564,-59.5804882 13.3086903,-59.5805547 13.3086865,-59.580613 13.3086694)",residential,yes,,,,,,,,,
"LINESTRING (-59.5811339 13.3075495,-59.5812919 13.307728,-59.5813035 13.3077664,-59.581296 13.3078001,-59.5812779 13.3078254,-59.5809011 13.308314,-59.5808651 13.3083501,-59.5808229 13.308369,-59.5807921 13.3083933,-59.5807244 13.3084869,-59.5806581 13.3086263,-59.580613 13.3086694)",residential,yes,,,,,,,,,
