WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (454998.376205211 338547.024192185,454960.306525945 338564.347612587,454950.476575355 338568.830719098,454919.365805079 338582.984903098)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (454962.040134592 338656.609050594,454943.549454395 338671.540714837,454940.530131005 338674.054147338,454882.343659527 338722.401192085)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454940.530131005 338674.054147338,454943.997250093 338678.265621454,454948.134857526 338683.207877922,454951.95419932 338687.768252646)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (454866.13729724 338684.735353967,454905.1912613 338658.744479854,454928.410018432 338645.880105778,454935.66757643 338641.823872712,454944.105238275 338635.055308142)",service,,,,,,,emergency,,,,,,,,,,,,,,,
"LINESTRING (454907.630825125 338552.823830392,454911.974631416 338567.436473077,454919.365805079 338582.984903098)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (454882.631707621 338548.423541328,454879.407260324 338547.096379206,454873.515515654 338547.463401075,454865.514813851 338550.665755726,454837.384944556 338566.300611666,454813.483460292 338580.092227744,454778.708985059 338607.411763989,454749.407913175 338633.347207442,454729.755114157 338651.248158504,454724.466757419 338657.696722476,454717.307010855 338670.944053151,454715.470312077 338674.082912683,454705.670102915 338690.827165986,454694.996052279 338702.243555614,454689.383706246 338707.041914997,454685.405081961 338710.601576822,454603.004114456 338778.848652722)",service,West Road,,15 mph,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454705.670102915 338690.827165986,454696.242187386 338693.679880897,454690.47703374 338692.37972775,454688.346040799 338690.64229229,454686.69570765 338687.408350208,454685.324561724 338682.664496621,454684.998100789 338680.035182361,454686.110432633 338675.575307155)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (454669.200233225 338691.682937944,454676.05283396 338692.505841102,454677.93526766 338693.639682106,454680.358490122 338695.091154722,454683.470543274 338699.220543543,454685.718519768 338704.875481654,454685.405081961 338710.601576822)",service,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455690.720895127 338499.088326722,455700.924550306 338505.413931942,455696.252332064 338517.175443425)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455672.112671757 338577.086655613,455672.858818575 338574.158101567)",cycleway,,,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455669.901814957 338578.807909235,455672.112671757 338577.086655613)",cycleway,,asphalt,,yes,,,,yes,,,,,,1,track,,,,,,,
"LINESTRING (455682.733426931 338563.524537475,455666.881631319 338577.271183214)",cycleway,,paved,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455666.881631319 338577.271183214,455668.057892355 338578.430659226,455669.006310665 338579.531884212,455669.901814957 338578.807909235)",cycleway,,paved,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455662.224512717 338553.876150933,455674.261687437 338563.226711426,455660.893278933 338576.100805463)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455108.198104446 338575.243021411,455110.716636355 338544.15362064)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455093.605936806 338542.890556953,455090.722729211 338574.142692142)",service,,,,,parking_aisle,yes,,,,,,,,,,,,,,,,
"LINESTRING (455076.251335037 338531.177904156,455076.235613757 338531.377984579,455072.534254145 338572.511403383)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455061.012983088 338571.467883905,455072.534254145 338572.511403383,455078.32176831 338573.033479683,455090.722729211 338574.142692142,455108.198104446 338575.243021411)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (454911.974631416 338567.436473077,454943.51417431 338553.40949381,454968.452800099 338542.433937085,454999.740866099 338528.682599022)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (457657.770264928 338698.110808199,457648.839193613 338704.790932293)",living_street,Arkwright Walk,,,,,,,yes,,,yes,,yes,,lane,,,,,,,table
"LINESTRING (457628.592385468 338652.092134502,457639.359715022 338656.570630365,457644.713388666 338650.615496867)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457648.839193613 338704.790932293,457614.669025315 338749.442391439)",living_street,Arkwright Walk,,,,,,,yes,,,yes,,yes,,lane,,,,,,,
"LINESTRING (457497.138326961 338577.987720485,457548.522021925 338594.252899495,457580.098484587 338604.319328256,457590.411463893 338607.457223744,457607.957031629 338612.784070233,457615.725241683 338615.146278148,457637.656994791 338621.816085946,457634.710486399 338631.627145332,457630.556692844 338645.740561134,457629.421902835 338649.59875483,457628.592385468 338652.092134502,457627.553843069 338655.206058256,457624.604888411 338661.278880011,457621.992730049 338665.59786724)",residential,Kirkby Gardens,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (457614.669025315 338749.442391439,457611.299790177 338754.130632429)",living_street,Arkwright Walk,,,,,,,yes,,,yes,,yes,,lane,,,,,,,yes
"LINESTRING (457611.299790177 338754.130632429,457608.806784007 338756.915708131)",living_street,Arkwright Walk,,,,,,,yes,,,yes,,yes,,lane,,,,,,,yes
"LINESTRING (457542.83760577 338612.75391588,457548.522021925 338594.252899495)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (457540.887826498 338683.957017758,457542.89199504 338676.504447409,457536.253169695 338674.689827719,457531.500234597 338673.665329878)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454370.027333226 339915.030522672,454371.71944475 339915.127438587,454374.754571318 339915.29509332,454469.267582298 339926.973176364,454482.911739831 339928.361913105,454498.768153557 339927.216764297,454509.848673583 339923.570179151,454519.688845476 339918.496683771,454540.363718025 339901.796913049,454546.215338255 339891.738723184,454576.304105066 339747.691288654,454621.171813739 339538.73782788)",residential,Orston Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454461.949260078 339649.230959734,454471.074399336 339655.775473015,454472.773967764 339657.007310217,454474.510461411 339658.539953362,454512.579549682 339692.178879041,454568.022913543 339743.792848941,454576.304105066 339747.691288654)",residential,Harby Drive,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (454472.596548578 339658.440503107,454470.593554417 339662.667878287,454468.026877948 339682.331128477,454456.774681124 339736.352255095,454444.199196968 339768.886238302,454421.435182961 339816.54748071,454374.954248343 339898.742560371,454374.541315046 339902.59847108)",cycleway,,asphalt,,yes,,,,no,,,yes,,,2,track,,,,,,,
"LINESTRING (454436.872680305 339623.548883489,454437.960936507 339627.154684333,454434.830743403 339691.491699163,454424.027772749 339734.893081291,454421.369870944 339738.211933906)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,2,track,,yes,,,,,
"LINESTRING (454473.121136663 339653.629063935,454472.773967764 339657.007310217,454472.596548578 339658.440503107)",cycleway,,asphalt,,yes,,,,yes,,,yes,,,3,track,,no,,,,,
"LINESTRING (454621.171813739 339538.73782788,454629.023857147 339540.206136466,454634.783514389 339539.525829401,454642.090532093 339536.304150999,454647.748994053 339530.905491157,454651.317151792 339523.769870222,454652.190614471 339515.45785151,454650.18811888 339507.736343272,454646.0181231 339501.536777961,454639.614441139 339496.769408799,454634.387688127 339494.885737906,454626.402564145 339494.483968477,454618.20158818 339497.12816739,454611.969956766 339502.108740931,454607.620077111 339509.446942882,454606.457756775 339513.594757807,454608.075799393 339526.207134849,454612.421822227 339532.887053752,454621.171813739 339538.73782788)",residential,Orston Drive,asphalt,20 mph,yes,,yes,,,both,,,,,,,,,,,,,
