WKT,highway,name,surface,maxspeed,lit,service,oneway,access,foot,sidewalk,ref,lcn,lanes,bicycle,est_width,cycleway,layer,segregated,motor_vehicle,addr:postcode,bridge,abutters,traffic_calming
"LINESTRING (454404.672534416 340315.316425521,454357.838261463 340314.088434523,454309.378132246 340315.846517635,454302.256295726 340318.258596708,454308.414916219 340401.546767906,454310.018538355 340412.4900624,454311.102805059 340418.832676127,454319.030748581 340483.349743759,454325.139228325 340504.123033924,454338.879958335 340512.910957682,454353.256434942 340515.943046715,454372.864430386 340516.163659611,454386.792861881 340508.26553192,454400.818404674 340491.746247321,454404.334180523 340471.270345667,454412.711015391 340340.094495226,454413.558841653 340326.853532824,454407.951662962 340321.238753204,454404.672534416 340315.316425521)",residential,Southwold Drive,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454265.298698617 340543.713896369,454228.3874309 340544.456542383,454227.419321402 340527.757383725,454227.458023963 340524.308904187,454227.554780295 340515.687705417,454232.895886591 340502.508272883,454233.51086473 340500.390199565)",residential,Marsant Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454519.400738561 340423.414686152,454647.743640319 340420.848198612)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454517.213248754 340361.843527575,454651.516609249 340361.691854317)",track,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454274.524286972 340432.929360589,454264.784379728 340433.977021856)",residential,Lambie Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454243.370294051 340422.255034239,454254.263126496 340396.910996454)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454267.946964377 340441.310887164,454267.071397553 340437.31811429,454264.784379728 340433.977021856,454263.098780765 340431.521601302,454254.555511577 340425.918530432,454243.370294051 340422.255034239,454240.272205542 340421.14107992,454228.087331052 340416.754364476,454215.437009412 340413.730897545,454205.10363275 340409.587525925)",residential,Lambie Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454187.308283467 340318.981919902,454211.982690705 340335.980345389,454232.152381805 340344.283806606)",service,,,,,driveway,,,,,,,,,,,,,,,,,
"LINESTRING (454463.998502348 341464.040822678,454460.444671667 341453.965502397,454453.227667951 341421.464273864,454454.921822896 341377.837827731,454451.336370871 341195.961402804,454451.44059967 341179.563517983,454449.260823083 341014.179933566,454449.185148799 341007.781891616,454448.927329992 340969.863125876,454448.318176646 340897.551344932,454447.489388239 340798.825059141)",trunk,Western Boulevard,asphalt,40 mph,yes,,yes,,,,A6514,,2,,,,,,,,,,
"LINESTRING (454431.245104209 340714.799941082,454431.686669676 340726.887252657,454431.693107592 340731.682433159,454431.703951237 340743.241992087,454431.776078742 340799.449039183,454431.885219649 340807.649793148,454433.533155637 340890.342267664,454434.265015748 340912.434717812,454436.175079438 340970.064308551,454438.753435031 341179.999054302,454440.189399124 341413.774183714,454438.475459145 341429.964797635,454439.169948951 341445.225758083,454443.615979692 341463.154633212,454446.211882524 341472.406977494)",trunk,Western Boulevard,,40 mph,yes,,yes,,,,A6514,,3,,,,,,,,,,
"LINESTRING (454449.260823083 341014.179933566,454459.135838851 341014.157737208,454504.930058162 341014.084535476,454572.522291089 340995.611535814,454646.432130262 340976.320889063)",residential,Holbeck Road,,,,,,,,,,,,,,,,,,NG8 3PB,,,
"LINESTRING (454428.714914262 340896.451533146,454428.784219387 340912.361841102,454428.94876341 340960.96007122,454428.099868104 340963.565010188,454424.624277257 340965.584080088,454421.185305534 340965.545339277,454420.972350035 340970.137790138,454421.247009291 340974.379716533,454424.850810519 340974.097673622,454428.102882334 340976.415048131,454429.132917755 340979.196913623)",cycleway,,asphalt,,,,,,yes,,,yes,,yes,3,,,no,,,,,
"LINESTRING (454457.445950152 340798.759268388,454458.218668408 340897.674061689,454459.135838851 341014.157737208)",cycleway,,,,,,,,yes,,,,,yes,2.5,,,,,,,,
"LINESTRING (454427.622427397 340815.13376002,454428.658211314 340883.00011259,454428.705825907 340887.717879307,454427.87346179 340888.854432785,454426.639641609 340889.252177846,454426.613049167 340890.420060288,454426.607434 340892.11107959,454427.833859321 340892.369658271,454428.718176031 340893.180660166,454428.714914262 340896.451533146)",cycleway,,asphalt,,,,,,yes,,,yes,,yes,3,,,no,,,,,
"LINESTRING (454447.489388239 340798.825059141,454431.885219649 340807.649793148)",trunk_link,Western Boulevard,asphalt,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (454425.708516026 340769.753366686,454427.39210471 340778.928653125,454428.000212209 340800.085158045,454428.072117119 340804.43605489,454427.729200521 340805.656001292,454426.66416059 340805.977769296,454426.073794551 340807.695577563,454426.151916756 340809.109401429,454427.209436799 340809.45508111,454427.528416862 340810.359843491,454427.622427397 340815.13376002)",cycleway,,asphalt,,,,,,yes,,,yes,,yes,3,,,no,,,,,
"LINESTRING (454448.927329992 340969.863125876,454436.175079438 340970.064308551,454429.027219541 340970.095027208,454422.77281103 340970.124695761,454420.972350035 340970.137790138,454418.668133919 340970.145210681,454192.003284821 340971.357734354)",residential,Chalfont Drive,asphalt,,yes,,,,,,,,,,,,,,,,,,
"LINESTRING (454304.503849052 340891.760589647,454424.322103284 340890.43875384,454426.613049167 340890.420060288,454428.339779986 340890.395011299,454433.533155637 340890.342267664)",residential,Westholme Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454296.062982347 340808.980726328,454424.441196934 340807.710562749,454426.073794551 340807.695577563,454427.289815245 340807.687025483,454431.885219649 340807.649793148)",residential,Franklyn Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454235.656126993 340725.828653666,454236.761276387 340735.698281593,454249.507659696 340804.875324118,454252.562939557 340892.334088543)",residential,Ennismore Gardens,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454199.204814328 340804.266250053,454174.778692933 340812.069429675)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454143.912602655 340729.149740171,454152.233302133 340738.988956919,454158.695017741 340755.849810281,454166.873676305 340783.744197945,454169.043778613 340791.511897955,454174.778692933 340812.069429675,454190.71131298 340869.144085939,454191.556809966 340896.177490492,454192.003284821 340971.357734354)",residential,Redbourne Drive,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (454191.556809966 340896.177490492,454130.50723409 340895.515335618,454074.163614615 340899.935362804,454069.980167873 340822.955513383,454077.259907674 340816.561932989,454169.043778613 340791.511897955)",residential,Walesby Crescent,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (454505.10010041 340743.568800036,454505.952571557 340790.672845884,454506.099062394 340798.529133125)",service,,,,,,,no,,,,,,,,,,,,,,,
"LINESTRING (456049.501990953 341284.755007916,456082.229287058 341294.502651713,456111.653208547 341303.533481624,456151.369407838 341315.888309716,456155.81491375 341317.152683918,456239.903725382 341342.262516764,456298.669100504 341359.802439636,456347.755645114 341374.960534829,456399.327184046 341391.271840874,456417.826089432 341397.01732473,456423.542326337 341398.74181712,456470.349734681 341412.862118655,456543.575795375 341434.946527641,456596.631037207 341451.789118933,456611.855626365 341456.618063205,456635.194757965 341463.700575538,456689.843823438 341480.329255954,456694.998594483 341481.802719622,456712.099044317 341487.032276421,456807.185222751 341516.086235458)",primary,Gregory Boulevard,asphalt,30 mph,yes,,,,,both,A6130,,,,,,,,,,,,
"LINESTRING (456049.501990953 341284.755007916,456047.08803842 341290.757081784)",residential,Burford Road,asphalt,20 mph,yes,,,,,,,,,,,lane,,,,,,,cushion
"LINESTRING (455937.73164142 341354.585382874,455936.57966575 341358.354750668,455933.385352275 341367.374008744,455929.176558344 341373.511113574,455921.461190635 341376.770591494)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (456057.173832686 341445.008443057,456191.332571156 341496.955321234)",residential,Austen Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455960.138878157 341360.474492025,455958.458994826 341358.207655782,455957.801307119 341357.577001964)",unclassified,Terrace Street,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455966.87248728 341342.818279722,455964.224171771 341345.869389855,455961.720236849 341348.054376245,455959.04310012 341350.114975544,455956.051061703 341351.526642621,455952.434545851 341352.919951953,455950.486359154 341354.098950959)",unclassified,Terrace Street,asphalt,,,,yes,,,,,,,,,,,,,,,,
"LINESTRING (455905.765412989 341342.933920332,455910.610643848 341331.719757585,455919.411688145 341314.176418519,455927.792391777 341296.973121831,455931.063908594 341294.051589776,455933.226023233 341293.54259664,455934.775151672 341293.182264579,455953.998337972 341297.365626892)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455858.303386496 341446.798675516,455833.977970609 341512.737057546)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455848.179967336 341518.330552193,455871.554547423 341451.569069601)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455969.056464167 341491.715451976,456002.047173413 341504.124652505,456029.667360238 341514.524794347,456073.592016997 341531.055442025,456108.521553334 341544.199931393,456117.870901542 341547.712993412,456165.499804134 341565.644858057,456194.022193107 341576.37909028,456212.901054322 341583.485545526,456261.693030392 341601.84355977,456274.68003716 341606.734382789,456311.668288337 341620.649771138)",residential,Laurie Avenue,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455859.293304753 341109.103391916,455811.373320008 341091.460569885,455802.410090648 341116.066985027,455801.849585369 341121.556558372)",residential,Hyson Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455802.547253355 341050.694525577,455800.737741437 341056.725950719,455797.497769312 341065.633510131)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (455789.925266763 341062.887029215,455797.497769312 341065.633510131,455806.414904681 341068.862812233)",service,,,,,parking_aisle,,private,,,,,,,,,,,,,,,
"LINESTRING (455785.14461838 341002.197290935,455791.84629451 340984.963250732)",service,Palin Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455784.594779351 340982.33174406,455827.922756845 340952.748650711,455851.22698603 340937.586814034,455858.381729667 340936.390093801,455866.998098755 340939.504769953)",residential,A'court Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455776.821851905 341083.618468467,455774.449663666 341092.424806576,455759.64694109 341141.084183157,455777.022243054 341146.547190658,455792.01018621 341095.242109888,455791.333325478 341090.450283183,455787.733186353 341087.504922286,455776.821851905 341083.618468467)",service,,,,,parking_aisle,yes,,,,,,,,,,,,,,,,
"LINESTRING (455748.886966532 340998.363167539,455758.291367955 341001.876140745,455773.461404353 341007.547309251)",service,Palin Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455738.315532154 340958.011016042,455751.488397708 340969.110612524,455767.635465974 340975.115678672,455784.594779351 340982.33174406,455791.84629451 340984.963250732,455804.768139331 340989.863137568,455832.614261353 341000.186812011,455843.865080755 341004.355453529,455874.315646905 341016.578582161,455889.697608885 341022.497334343)",residential,Palin Street,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455850.16234599 341136.578189562,455807.021737953 341122.161463631,455801.849585369 341121.556558372,455791.043668351 341158.569007153,455789.146200756 341161.751266195,455784.003412463 341163.26058316,455775.824722095 341161.831067749,455728.647387122 341147.379559457)",residential,Court Street,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455726.175078187 341020.46357023,455802.547253355 341050.694525577,455820.306297269 341057.853207893,455839.404596252 341064.793799782)",residential,Holland Street,,20 mph,,,,,,,,,2,,,,,,,,,,
"LINESTRING (455728.647387122 341147.379559457,455718.165799606 341183.116459481)",residential,Dalkeith Terrace,asphalt,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455776.821851905 341083.618468467,455718.983352986 341060.989049525,455714.110890434 341060.020551813,455710.362978241 341061.145514942,455706.683490033 341065.074920904,455701.550000931 341073.927329351,455699.100892142 341081.842767133,455695.667024712 341095.932684998,455689.213932163 341114.371283343,455683.042485321 341134.604357996)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455683.042485321 341134.604357996,455672.389562075 341168.915299476)",service,Hawarden Terrace,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455415.358282439 341147.691608931,455412.61580093 341157.217028802,455389.869300042 341230.574167203,455385.939601176 341240.542137394,455379.700087122 341251.017656879,455369.190030995 341263.113068883,455328.038308403 341296.719210398)",residential,Kenslow Avenue,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455758.291367955 341001.876140745,455759.54296391 340997.618356923)",service,Palin Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455759.54296391 340997.618356923,455767.635465974 340975.115678672)",residential,Burwell Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455829.950734634 340875.504786552,455826.483604012 340879.058288027,455833.191373425 340887.480008622,455834.985929212 340889.725869683)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455874.715752072 340855.951745652,455850.310912835 340876.20740219,455836.75976122 340888.533681154,455834.985929212 340889.725869683,455831.550397395 340892.289554202,455814.129187646 340905.260957193,455789.08627856 340922.060608112,455771.998318094 340933.534052548,455738.315532154 340958.011016042,455725.876411414 340970.650820855,455708.030961368 340993.664119243,455700.089050088 341008.959241698,455690.544836741 341026.894922255,455684.052076881 341038.279440731,455660.431271511 341082.754369715,455656.540785481 341091.00923914,455650.598434031 341102.444644822,455631.959816786 341136.074021613,455622.687758234 341154.335607599)",residential,Birkin Avenue,asphalt,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455700.089050088 341008.959241698,455714.278153394 341015.230820766,455726.175078187 341020.46357023)",residential,Holland Street,,20 mph,,,,,,,,,2,,,,,,,,,,
"LINESTRING (455634.381897375 340912.343947955,455671.470530012 340952.556343022,455708.030961368 340993.664119243)",residential,Collison Street,,,,,,,,,,,,,,,,,,,,,yes
"LINESTRING (455774.400274171 340872.115101393,455768.411528004 340875.884295111,455736.368472438 340893.871732062,455703.434258477 340919.837280407)",residential,Cope Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455738.315532154 340958.011016042,455711.589033853 340928.620408241,455703.434258477 340919.837280407,455677.918361975 340892.619193044,455665.317868541 340877.287549618)",residential,Palin Street,,20 mph,,,,,,,,,,,,,,,,,,,yes
"LINESTRING (455363.648927119 341076.095202556,455374.562635094 341079.802732917,455466.105337443 341107.565501058,455564.978308222 341137.439198137,455622.687758234 341154.335607599,455672.389562075 341168.915299476,455692.097695954 341174.794284109,455718.165799606 341183.116459481,455802.060958103 341207.927068005,455809.409364214 341210.281587486,455822.783345974 341213.784933073)",primary,Gregory Boulevard,asphalt,30 mph,yes,,yes,,,,A6130,,,,,,,,,,,,
"LINESTRING (455581.143915249 341081.084903885,455571.424949771 341117.765426813,455564.978308222 341137.439198137)",residential,Goodhall Street,asphalt,,,,no,,,,,,,,,,,,,,,,
"LINESTRING (455650.598434031 341102.444644822,455631.092091957 341096.512532628,455581.143915249 341081.084903885,455578.70752323 341080.322582408,455546.818659719 341070.476789072,455538.391357206 341067.865509236,455482.665953441 341050.648028688,455472.103129723 341047.389306311,455413.746676635 341029.352502798)",residential,Bridlington Street,asphalt,20 mph,,,,,,,,,,,,,,,,,,,yes
"LINESTRING (455509.717820998 341020.797330421,455529.692921669 341026.31155864,455549.025992821 341031.573724678)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455482.665953441 341050.648028688,455472.034506837 341088.464193332,455466.105337443 341107.565501058)",residential,Thornley Street,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455684.052076881 341038.279440731,455638.612258196 340988.324846931,455591.759631867 340936.718981996)",residential,Thurman Street,,,,,,,,,,,,,,,,,,,,,yes
"LINESTRING (455660.431271511 341082.754369715,455633.842537083 341054.255818183,455602.668349737 341020.831628623,455574.048311462 340990.162802635,455563.298375006 340978.635415089,455550.907130265 340965.542721513)",residential,Oldknow Street,asphalt,20 mph,yes,,,,,,,,,,,,,,,,,,yes
"LINESTRING (455634.381897375 340912.343947955,455627.331535096 340902.72812589)",cycleway,Collison Street,,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455591.759631867 340936.718981996,455587.518687273 340929.894695635)",cycleway,Thurman Street,,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455805.902355422 340782.928957654,455788.729761324 340794.12323235,455771.240265156 340805.425164499,455761.081726775 340812.506162961,455750.113162309 340819.344197095,455702.862266974 340851.174635009,455680.108173421 340866.98881085,455665.317868541 340877.287549618,455627.331535096 340902.72812589,455587.518687273 340929.894695635,455543.262349857 340956.787983913,455538.228818296 340959.300124359,455524.588790572 340966.007819089,455481.799315826 340985.731390886,455423.442017581 341013.376129944,455398.173262423 341024.267502307,455382.589569978 341031.209191937)",primary,Alfreton Road,,30 mph,yes,,,,,,A610,,,,,,,,,,,,
"LINESTRING (455614.156222222 340867.875711609,455575.723965623 340893.556320032,455567.324374957 340899.022492815)",service,Brook Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455563.298375006 340978.635415089,455561.876918439 340984.827145926,455552.780272308 341018.210558808,455549.025992821 341031.573724678,455538.391357206 341067.865509236)",residential,Brown Street,asphalt,20 mph,,,,,,,,,,,,,,,,,,,yes
"LINESTRING (455550.907130265 340965.542721513,455543.262349857 340956.787983913)",cycleway,Oldknow Street,,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455556.282324271 340893.599715164,455553.555477059 340895.303949018,455547.336133774 340899.282148248,455502.878147175 340928.520987329)",residential,Ben Street,asphalt,20 mph,yes,,,,,,,,,,,,,,,NG7 5NA,,,
"LINESTRING (455543.152796642 340893.281858997,455547.336133774 340899.282148248)",residential,Ben Street,asphalt,20 mph,no,,,,,,,,,,,,,,,NG7 5NA,,,
"LINESTRING (455502.878147175 340928.520987329,455524.588790572 340966.007819089)",residential,Wallan Street,asphalt,20 mph,yes,,,,,,,,,,,,,,,NG7 5ND,,,
"LINESTRING (455587.518687273 340929.894695635,455567.324374957 340899.022492815,455561.306785357 340890.13068738,455544.045579521 340863.542299229,455536.719012326 340856.893971309,455534.093396129 340855.050317478,455530.058250125 340853.101458432,455506.200049127 340847.542626678,455442.545664198 340835.530348504,455437.378525829 340834.458623839)",residential,Player Street,asphalt,20 mph,yes,,,,yes,both,,,,,,,,,,,,,
"LINESTRING (455763.883360792 340868.9341535,455768.411528004 340875.884295111)",residential,Cope Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455779.69832852 340834.493870474,455761.081726775 340812.506162961)",residential,Caulton Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455826.139411718 340744.323302133,455797.080807036 340724.261921032)",residential,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455658.737109047 340787.26130914,455664.312716019 340794.279043552,455702.862266974 340851.174635009)",residential,Wimbourne Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455724.643813995 340753.120074582,455733.053626782 340766.02264379,455724.03789498 340771.870837611,455737.370904028 340792.428985663)",service,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455697.684142602 340771.233167472,455745.737412034 340739.211666928,455748.145077056 340737.236841939)",residential,Addington Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455690.712647633 340775.747668653,455697.684142602 340771.233167472)",cycleway,Addington Road,,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (455664.312716019 340794.279043552,455690.712647633 340775.747668653)",residential,Addington Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455861.713604375 340699.942846779,455840.700243433 340685.359026299,455829.503881785 340677.575217961,455816.208026995 340668.343103866)",residential,Ossington Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455829.503881785 340677.575217961,455797.080807036 340724.261921032,455775.23742657 340755.96240523)",residential,Bovill Street,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455724.027806279 340687.127074122,455731.886157622 340679.707943854,455744.627824414 340674.681543295,455752.236791235 340669.084165319,455758.719724745 340665.009135173,455764.151957787 340662.913467328,455768.477818793 340662.963399641,455774.744508222 340664.237305553,455792.520561025 340675.868540538)",residential,,,,,,,private,,,,,,,,,,,,,,,
"LINESTRING (455726.049078754 340667.980991524,455724.027806279 340687.127074122,455708.709964781 340713.407080518)",residential,Denison Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455683.262874163 340678.958151956,455690.824633976 340652.388395056,455690.38585585 340646.742662673,455687.414020357 340642.291547927,455682.10986987 340639.10412269,455677.275917276 340635.922122053)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455603.550431167 340784.85685605,455665.317868541 340877.287549618)",residential,Beckenham Road,,20 mph,,,,,,,,,,,,,,,,,,,
"LINESTRING (455651.997669834 340779.217745835,455658.737109047 340787.26130914)",cycleway,Wimbourne Road,,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (455658.270893043 340696.526741948,455643.874361472 340760.088290157,455643.842036108 340765.227940855,455651.997669834 340779.217745835)",residential,Crewe Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455643.874361472 340760.088290157,455612.759114349 340753.477432677,455606.820229615 340752.329890267)",residential,Crewe Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455591.273174824 340781.088625223,455603.550431167 340784.85685605)",cycleway,,,,,,,,yes,,,,,yes,,,,,,,,,
"LINESTRING (455614.124549752 340745.160084212,455612.759114349 340753.477432677)",residential,Crewe Close,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455563.168750766 340759.192798209,455571.870633909 340712.86580964,455605.762345564 340718.751812493)",service,Hartley Court,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455612.424021501 340686.87580028,455605.762345564 340718.751812493,455591.273174824 340781.088625223,455589.579885478 340786.37604701,455586.215609206 340790.342548992,455496.012522142 340769.468609704,455394.714661668 340748.246635384)",residential,Norton Street,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455509.095674207 340698.426297325,455496.012522142 340769.468609704)",residential,Dorking Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455805.902355422 340782.928957654,455795.625577978 340772.318818911,455775.23742657 340755.96240523,455748.145077056 340737.236841939,455727.626737881 340725.151361755,455708.709964781 340713.407080518,455694.141311197 340706.764016955,455675.71396374 340700.922073629,455658.270893043 340696.526741948,455612.424021501 340686.87580028,455530.150245363 340670.342511424,455515.454217481 340667.737117838,455477.752439841 340661.307355257,455469.013422716 340659.449172052,455423.661426231 340651.107413158,455409.831933147 340648.501158661)",tertiary,Hartley Road,asphalt,20 mph,,,,,,both,,,2,,,,,,,,,,
"LINESTRING (455531.796090797 340655.152754644,455530.150245363 340670.342511424)",residential,Trafalgar Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455510.392521267 340692.555763607,455515.454217481 340667.737117838)",residential,Dorking Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455318.504046332 341122.149710365,455332.700299315 341123.702998876,455383.690518534 341138.494711803,455415.358282439 341147.691608931,455509.068554851 341174.923809982,455533.524108223 341182.136143171,455559.567930419 341190.835448065,455571.180624781 341197.978154585,455574.891460245 341202.982862184,455579.784329874 341216.178486411)",residential,Brushfield Street,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455413.746676635 341029.352502798,455398.173262423 341024.267502307)",cycleway,Bridlington Street,paved,,,,,,yes,,,,,,,,,,,,,,
"LINESTRING (455349.453848092 341046.872511615,455361.421055166 341044.239372944,455371.288088729 341040.224869311,455382.589569978 341031.209191937)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (455382.589569978 341031.209191937,455367.655770156 341034.787327855,455359.421296453 341038.197514794,455349.453848092 341046.872511615)",primary,Alfreton Road,asphalt,30 mph,yes,,yes,,,,A610,,,,,,,,,,,,
"LINESTRING (455382.589569978 341031.209191937,455372.766923325 341030.762822327,455365.369359756 341026.795204626,455359.451060786 341021.531731358,455356.214616009 341016.132112523)",primary_link,Radford Boulevard,asphalt,,yes,,yes,,,,A6130,,,,,,,,,,,,
"LINESTRING (455415.133129575 340950.065234246,455423.442017581 341013.376129944)",residential,Prospect Terrace,,20 mph,,,,,,no,,,,,,,,,,,,,
"LINESTRING (455436.837818968 340875.138679675,455432.364489746 340907.863321036,455481.799315826 340985.731390886)",residential,Osborne Street,asphalt,20 mph,,,yes,,,,,,,,,,,,,NG7 5LY,,,
"LINESTRING (455502.878147175 340928.520987329,455478.44399574 340885.985344928,455477.00922881 340883.39885806,455436.837818968 340875.138679675)",residential,Wallan Street,asphalt,20 mph,yes,,yes,,,,,,,,,,,,,NG7 5ND,,,
"LINESTRING (455413.976512621 340931.427738396,455415.133129575 340950.065234246)",service,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455356.328634656 341001.49215144,455387.495857845 341009.314663959,455394.149075331 341010.826151283,455396.855306765 341010.323155934)",service,,paved,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455359.962083573 340977.524780056,455370.978979035 340980.454689342,455385.089338612 340983.675977677,455386.888400613 340983.785608711,455394.497310024 340980.457298357,455400.021574054 340977.906134866,455400.829124249 340962.550963727)",service,,paved,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455438.029116081 340864.405035806,455436.837818968 340875.138679675)",residential,Osborne Street,asphalt,20 mph,yes,,,,,,,,,,,,,,,NG7 5LY,,,
"LINESTRING (455439.013668845 340858.80903964,455438.029116081 340864.405035806)",cycleway,Osborne Street,paved,,,,,,yes,,,,,,,,,,,NG7 5LY,,,
"LINESTRING (455442.545664198 340835.530348504,455439.013668845 340858.80903964)",residential,Osborne Street,asphalt,,yes,,,,yes,,,,,,,,,,,NG7 5LY,,,
"LINESTRING (455437.378525829 340834.458623839,455405.333458046 340828.695100517,455383.079335221 340825.002125938)",residential,Player Street,asphalt,20 mph,yes,,,,,both,,,,,,,,,,,,,
"LINESTRING (455354.729483886 341012.07650786,455356.328634656 341001.49215144,455359.293535699 340981.933975202,455359.962083573 340977.524780056,455366.894608027 340931.811330502,455376.48772919 340868.494341566,455376.901832325 340865.773320797,455378.028257853 340858.34321873,455380.949955931 340839.051575756,455383.079335221 340825.002125938,455389.344168544 340783.653410769,455394.714661668 340748.246635384,455406.016329385 340673.667962638,455408.567203665 340656.853089556,455409.831933147 340648.501158661)",primary,Radford Boulevard,asphalt,30 mph,yes,,,,,both,A6130,,2,,,,,,,,,,
"LINESTRING (455332.569419437 340776.193967961,455389.344168544 340783.653410769)",service,,,,,,,,,,,,3,,,,,,,,,,
"LINESTRING (455439.843464874 340716.83387303,455476.07398964 340722.645670899,455478.511120864 340707.565114494,455442.280484875 340701.753299156)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455438.92503673 340722.519631758,455439.843464874 340716.83387303,455442.280484875 340701.753299156,455444.956546427 340685.162390813,455455.04860687 340686.780173207,455463.604990587 340688.157835299)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,
"LINESTRING (455462.453039357 340694.285932324,455463.604990587 340688.157835299,455464.484835601 340683.495191546,455469.013422716 340659.449172052)",residential,Wilton Road,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (455363.648927119 341076.095202556,455359.742156655 341064.7134589,455356.073007636 341054.86977247,455349.453848092 341046.872511615)",primary,Gregory Boulevard,,,yes,,yes,,,,A6130,,,,,,,,,,,,
"LINESTRING (455349.453848092 341046.872511615,455345.317167132 341058.484728072,455349.226043336 341067.340975778,455363.648927119 341076.095202556)",primary,Gregory Boulevard,,30 mph,yes,,yes,,,,A6130,,,,,,,,,,,,
"LINESTRING (455321.101324662 341064.871574327,455324.818158777 341064.691628941,455327.854887078 341065.827841298,455363.648927119 341076.095202556)",primary_link,Gregory Boulevard,asphalt,,yes,,yes,,,,A6130,,,,,,,,,,,,
