WKT,highway,noname,name,surface,maxspeed,ref,lanes,oneway,service,bridge,layer
"LINESTRING (-7016119.37866751 -2911921.29630374,-7016170.73986121 -2911863.44886957,-7016252.54549872 -2911797.02795518,-7016287.33900407 -2911771.41648726,-7016308.64873231 -2911746.15757143,-7016345.56205688 -2911720.24992896,-7016378.98258704 -2911687.85875661,-7016393.52431976 -2911681.57717906,-7016418.87009819 -2911683.15295453,-7016444.70339483 -2911682.40501774,-7016464.73343667 -2911675.96618874,-7016493.08168363 -2911668.81025362,-7016528.78414438 -2911671.94793016,-7016566.0591497 -2911677.11364402,-7016622.41356342 -2911688.12027129,-7016645.19896599 -2911690.98527547,-7016675.86751334 -2911686.87434904,-7016716.08637337 -2911676.92033265,-7016771.46538565 -2911656.22077292,-7016821.06816815 -2911633.66138499,-7016857.51176807 -2911615.16356925,-7016918.78848965 -2911576.62483413,-7016965.89894209 -2911544.23883395,-7016979.79024905 -2911537.33772561,-7017001.14097664 -2911517.17652837,-7017064.69295591 -2911477.8559477)",track,,,,,,,,,,
"LINESTRING (-7011348.68038298 -2913475.56422785,-7011373.15346756 -2913490.75904562,-7011397.56481504 -2913493.10703577,-7011424.57725753 -2913503.14248775,-7011458.66335362 -2913515.04347903,-7011483.10270906 -2913523.8058883,-7011498.71234613 -2913557.0410911,-7011523.93480745 -2913586.98243707,-7011545.85286138 -2913600.89854727,-7011567.75931806 -2913614.83924066,-7011576.86720124 -2913635.27946362,-7011598.16765237 -2913653.71740361,-7011629.07495776 -2913668.84312227,-7011652.23916474 -2913680.19821093,-7011682.52266999 -2913699.82740239,-7011701.90151984 -2913718.90369358,-7011714.81896453 -2913731.63556697,-7011741.1923042 -2913739.73640468,-7011777.84653854 -2913752.89370158,-7011823.49029178 -2913767.26054103,-7011853.04344622 -2913772.13765169,-7011875.69918377 -2913800.8259907,-7011898.9582519 -2913827.70686263,-7011911.92124985 -2913846.84775871,-7011912.26569992 -2913871.72831834)",track,yes,,,,,,,,,
"LINESTRING (-7011338.6839155 -2913099.96523535,-7011345.98204784 -2913133.91367435,-7011365.51566936 -2913178.65091488,-7011393.32406571 -2913209.83914066,-7011430.80731892 -2913250.58018422,-7011458.71881158 -2913288.40373608,-7011480.51437742 -2913327.52302062,-7011490.90457546 -2913345.38901885,-7011482.16698308 -2913382.6783292,-7011481.73249079 -2913412.83271079,-7011482.54375912 -2913440.42569712,-7011484.07012596 -2913476.33191331,-7011487.38637302 -2913492.33264835,-7011486.20226295 -2913507.74109286,-7011483.10270906 -2913523.8058883)",track,yes,,,,,,,,,
"LINESTRING (-7015827.81693666 -2911163.62647013,-7015819.23768319 -2911183.73877232,-7015778.8904874 -2911216.4536678,-7015761.06417808 -2911239.71739763,-7015748.50147868 -2911278.34422914,-7015744.66912973 -2911317.40569895,-7015757.72416507 -2911350.67415831,-7015800.36420203 -2911425.25978508,-7015824.1534813 -2911449.71225327,-7015848.39407443 -2911465.40505004,-7015868.59393258 -2911489.36389104,-7015881.17400532 -2911526.22555965,-7015886.56337811 -2911562.12403384,-7015889.8044576 -2911586.74521441,-7015874.09643252 -2911616.16126719,-7015838.80729357 -2911638.55415831)",track,yes,,,,,,,,,
"LINESTRING (-7015745.34620671 -2911047.78949715,-7015688.89873492 -2911053.43644998,-7015643.77011724 -2911062.05954258,-7015565.27116353 -2911073.54663812,-7015506.20195609 -2911071.50879356,-7015446.03235601 -2911061.26442267,-7015408.5523424 -2911062.10897213,-7015360.3102527 -2911066.6456958,-7015326.41985722 -2911067.98385806,-7015306.92759596 -2911071.24151697,-7015273.15399021 -2911087.98260726,-7015245.04209774 -2911106.19019351,-7015234.90563605 -2911126.83548303,-7015238.3169864 -2911171.99372324,-7015243.86930072 -2911233.56471816,-7015236.28545398 -2911251.60907577,-7015194.75986225 -2911260.69958273,-7015151.64799707 -2911265.20035835,-7015111.69764704 -2911278.90478591,-7015056.21459684 -2911277.34064931,-7014964.80017402 -2911276.10995173,-7014930.91137145 -2911277.4470201,-7014898.64393668 -2911288.51580133,-7014873.10256793 -2911309.26947381,-7014859.90394875 -2911330.96383423,-7014827.63670351 -2911342.03227541,-7014795.77434001 -2911339.22430016,-7014765.89783698 -2911327.17239453,-7014726.88727437 -2911328.56197811,-7014699.74312716 -2911339.57737777,-7014677.25356061 -2911354.15014168,-7014645.43283903 -2911356.50259969,-7014603.9448834 -2911370.73370573,-7014573.28168148 -2911391.5390494,-7014539.57345201 -2911418.54264483,-7014530.53084504 -2911447.37287245,-7014531.36266778 -2911495.11544473,-7014551.67438823 -2911534.47220268,-7014579.08818498 -2911564.51445019,-7014600.3664572 -2911596.68181274,-7014612.9090801 -2911628.39582174,-7014610.01364991 -2911655.13797637,-7014593.385593 -2911702.01060231,-7014583.99270871 -2911754.96396895,-7014573.47770037 -2911794.6061975,-7014569.03546444 -2911821.85789455,-7014576.97517406 -2911855.15034314,-7014585.85367842 -2911876.12943258,-7014592.17283853 -2911899.69051454,-7014592.3500457 -2911925.35790777,-7014602.86507663 -2911961.21683248,-7014632.75647893 -2911978.41915528,-7014661.02921615 -2911980.73562263,-7014694.3724117 -2911977.86370657,-7014724.59757368 -2911965.79429726,-7014747.48429823 -2911932.21706276,-7014747.65038439 -2911882.40702761,-7014734.60984205 -2911854.27172964,-7014739.54471327 -2911823.4214528,-7014749.67098494 -2911802.80292707,-7014768.42325832 -2911767.19313078,-7014776.35706695 -2911725.02652075,-7014783.76371307 -2911681.31569146,-7014786.85805663 -2911609.90484647)",track,yes,,,,,,,,,
"LINESTRING (-7015306.92759596 -2911071.24151697,-7015282.18958042 -2911059.13080948,-7015277.99794091 -2911046.85085308,-7015269.08751158 -2911020.74679663,-7015255.08285286 -2910999.81998183,-7015230.87200141 -2910989.25373683,-7015203.66295556 -2910990.00460964,-7015157.48924585 -2910995.55738841,-7015125.10468487 -2910991.22502302,-7015101.45008399 -2910987.32710069,-7015073.74942397 -2910991.6761617,-7015052.6891099 -2910990.33820519,-7015009.81967909 -2910955.28872222,-7014988.16232867 -2910942.12210672,-7014920.28604773 -2910929.39067672,-7014884.72365328 -2910910.70692181,-7014863.54695696 -2910893.96699864,-7014818.09035047 -2910856.37733708,-7014773.20770502 -2910825.44981087,-7014735.58504707 -2910805.76946782,-7014636.27688939 -2910776.36986194,-7014608.00411824 -2910774.05769893,-7014569.5442958 -2910782.09923591,-7014519.85590453 -2910797.44299197,-7014469.73352726 -2910826.63168551,-7014409.38379865 -2910861.07430826,-7014370.95989032 -2910874.25705963,-7014333.02811716 -2910883.8417748,-7014308.90178821 -2910883.53612311,-7014292.78502225 -2910856.47892152,-7014273.53628481 -2910820.18856591,-7014244.6737892 -2910806.06699739,-7014208.65743831 -2910796.12481058,-7014174.15215337 -2910780.53100556,-7014145.58346162 -2910731.99807523,-7014107.78233012 -2910686.65370183,-7014074.79285844 -2910670.51999638,-7014015.67067437 -2910658.21971006,-7013957.05181511 -2910647.45124467,-7013877.79756282 -2910621.46496786,-7013814.95297885 -2910593.2778235,-7013764.95269224 -2910569.55401436)",track,yes,,,,,,,,,
"LINESTRING (-7013453.89063691 -2909204.31464537,-7013748.9082921 -2909038.09926511,-7013799.28177406 -2909028.93510199,-7013847.09110453 -2909108.57796868,-7013926.23158529 -2909189.47723893,-7014002.66381681 -2909252.436879,-7014062.51912871 -2909291.92998369,-7014075.35760799 -2909294.38086201,-7014091.82063741 -2909297.31229546,-7014119.44420374 -2909282.67460829,-7014150.09929809 -2909261.86240071,-7014191.47785376 -2909232.21422066,-7014243.71859438 -2909214.27872349,-7014300.0874652 -2909198.35511533,-7014343.1449313 -2909188.72654561,-7014372.34504761 -2909178.70123511,-7014398.36334347 -2909154.32568968,-7014430.37189166 -2909107.31669923,-7014480.3173327 -2909018.19055381,-7014528.78931674 -2908974.11135079,-7014597.79292316 -2908929.82015592,-7014629.49739705 -2908912.07463884,-7014679.27268179 -2908906.99683214,-7014701.90823058 -2908912.94267906,-7014729.04199165 -2908901.90055733,-7014751.95076454 -2908873.45655424,-7014824.78080348 -2908790.12334388,-7014891.4818589 -2908714.02743102,-7014900.53184677 -2908685.18655237,-7014899.73083737 -2908647.71427009,-7014890.97419445 -2908571.79688901,-7014876.28374684 -2908528.80535972,-7014868.78292813 -2908486.77444794,-7014884.34174188 -2908436.82383228,-7014904.62358818 -2908400.69494389,-7014929.2125338 -2908321.90866888,-7014936.85064309 -2908173.4470998,-7014959.21629035 -2908073.11848662,-7015005.65221038 -2907962.79515095)",track,yes,,,,,,,,,
"LINESTRING (-7013636.86562725 -2908596.05957837,-7013663.65498618 -2908575.70989599,-7013686.3919321 -2908583.36389112,-7013711.78050228 -2908616.92489082,-7013774.58116745 -2908612.8127442,-7013847.66837503 -2908606.25649417,-7013907.6045042 -2908615.59269853,-7014077.01111744 -2908567.72473422,-7014098.06790062 -2908578.00994367,-7014117.77610318 -2908572.28910978,-7014163.91197176 -2908507.98171348)",track,yes,,,,,,,,,
"LINESTRING (-7013521.50342299 -2908726.96761649,-7013540.10431928 -2908727.37687186,-7013557.45394408 -2908720.08451595,-7013570.19982159 -2908705.52302719,-7013586.7394383 -2908686.43494732,-7013596.91142665 -2908661.23777673,-7013605.3008406 -2908646.57047269,-7013625.91534521 -2908624.48117322,-7013632.80963763 -2908612.4627164,-7013636.86562725 -2908596.05957837,-7013624.40175566 -2908585.51431241,-7013595.15896406 -2908561.92216129)",track,yes,,,,,,,,,
"LINESTRING (-7012323.69711947 -2909385.33367273,-7012368.99859408 -2909354.32356333,-7012385.90357238 -2909342.75143203,-7012471.29709136 -2909317.58381754,-7012500.90662592 -2909296.25064675,-7012574.74384573 -2909266.34477802,-7012754.9384496 -2909204.89359586,-7012772.09602557 -2909195.69770586,-7012874.99581269 -2909176.91887192,-7012945.9567271 -2909160.0096338,-7013031.60652429 -2909135.57286184,-7013114.4882535 -2909119.94989112,-7013170.75604473 -2909110.13794066,-7013264.54945107 -2909094.89547341)",track,,,,,,,,,,
