WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-7008120.24517942 -2939994.35563955,-7008093.13148122 -2939901.52554943,-7007994.35650231 -2939501.68474466,-7007941.82733111 -2939284.86091043,-7007902.98755694 -2939179.84046408,-7007872.46839526 -2939106.13605526,-7007841.95875052 -2939034.41626292,-7007762.27299778 -2938847.22866152,-7007751.10932648 -2938805.23927489,-7007751.55887536 -2938762.28430603,-7007710.93237989 -2938685.14397656,-7007697.28650195 -2938642.66443835,-7007673.4918376 -2938605.61287691,-7007606.09531839 -2938472.12632348,-7007607.58989185 -2938441.27477854)",track,yes,,,,,,,,,,
"LINESTRING (-7005555.53203006 -2938993.84525566,-7005288.92346065 -2939757.27419164)",track,yes,,,,,,,,,,
"LINESTRING (-7005656.46125867 -2941537.26968044,-7005637.06013335 -2941517.2327314,-7005576.0269371 -2941343.24193994,-7005570.20061587 -2941326.53563802,-7005563.77863555 -2941310.72739604,-7005551.09672063 -2941259.74218348,-7005546.52830962 -2941226.92129004,-7005529.47097367 -2941210.290255,-7005501.44385457 -2941210.09253818)",track,yes,,,,,,,,,,
"LINESTRING (-7003617.79566649 -2939759.8000566,-7003670.17750962 -2939555.37697443,-7003715.18909544 -2939372.02050882,-7003470.55445945 -2939230.18989991,-7003479.70069122 -2939187.71171375,-7003500.15227416 -2939085.72263262,-7003523.21640244 -2939015.16166483,-7003537.20836944 -2938960.78072377,-7003541.99937856 -2938924.97884754,-7003530.58301868 -2938909.1683506,-7003448.63217261 -2938864.83893058,-7003395.93936121 -2938837.74818129,-7003339.36900618 -2938807.85599746)",track,yes,,,,,,,,,,
"LINESTRING (-7007589.83991672 -2936435.3854684,-7007545.77173551 -2936437.92057409,-7007505.12988497 -2936440.72750397)",track,yes,,,,,,,,,,
"LINESTRING (-7007366.83318344 -2936301.39131044,-7007405.23842707 -2936318.93178092,-7007433.91143495 -2936333.07428207,-7007477.12066761 -2936369.04579046,-7007489.79254335 -2936392.44993605,-7007505.12988497 -2936440.72750397,-7007514.60122103 -2936487.18417544,-7007538.72586437 -2936545.88155071,-7007552.61202952 -2936588.44298304,-7007551.9436122 -2936604.91917595,-7007541.56508621 -2936619.42364471,-7007264.21152645 -2936739.29958561,-7007217.87486928 -2936743.56593772,-7007183.06650778 -2936735.31542235,-7007156.1060273 -2936717.72280675,-7007139.57519212 -2936698.49743461)",track,yes,,,,,,,,,,
"LINESTRING (-7006555.41338015 -2936719.22625684,-7006572.66001532 -2936700.52896875,-7006592.52536804 -2936695.92019779,-7006608.47529977 -2936673.38060214,-7006601.34642949 -2936652.2579208,-7006564.78395042 -2936651.81618027,-7006538.47411277 -2936650.04736165,-7006508.31332362 -2936650.11777916,-7006479.47133233 -2936646.52415682,-7006456.32571668 -2936642.06336652,-7006430.69720782 -2936641.66161341,-7006412.76059445 -2936645.59569738,-7006373.44680983 -2936639.30616097)",track,yes,,,,,,,,,,
"LINESTRING (-7004758.31946827 -2937733.52938234,-7004915.96852417 -2937823.16518041,-7004927.89839778 -2937842.67537286,-7004931.0282616 -2937866.21411476,-7004772.25115285 -2938150.74353531,-7004733.48813914 -2938159.60465981,-7004365.18173489 -2937945.2992579,-7004350.54333222 -2937930.47755901,-7004349.20490237 -2937910.59339393,-7004357.32297483 -2937895.01950847,-7004587.11205993 -2937493.95639767,-7004620.88803959 -2937479.83933539,-7004806.70788456 -2937586.35890971)",track,yes,,,,,,,,grade2,,
"LINESTRING (-7006256.87056966 -2944943.4128483,-7006136.00205445 -2944664.71147146,-7006148.50988319 -2944640.84243497,-7006444.56772136 -2944509.50686664,-7006447.74037195 -2944492.35677428,-7006373.12439114 -2944313.00667936,-7006292.70119941 -2944348.68122797)",track,yes,,,,,,,,,,
"LINESTRING (-7006967.79384121 -2944778.328702,-7006978.35973997 -2944822.68374703,-7006994.07927958 -2944828.06058427,-7007035.75130533 -2944815.05711219,-7007055.02073252 -2944824.5796031,-7007065.96854241 -2944844.43249931,-7007128.90797106 -2945002.92430492,-7007200.53142787 -2945171.3447632,-7007198.65917652 -2945194.44641814,-7007177.85701596 -2945208.97476884,-7007134.61773611 -2945236.43333481,-7007102.29192338 -2945261.267589,-7007063.2306445 -2945291.59400682,-7006962.2961316 -2945375.33811597)",track,,,,,,,,,,,
