WKT,highway,name,surface,noname,oneway,lanes,maxspeed,ref,service,junction,source_1
"LINESTRING (-59.5520041 13.1496182,-59.5519655 13.1493327,-59.5520416 13.1491536,-59.5522316 13.1490116,-59.552405 13.1489109,-59.5526142 13.1488382,-59.5527081 13.1488777,-59.5527507 13.1489899,-59.5526429 13.1494695)",residential,,,yes,,,,,,,
"LINESTRING (-59.5547491 13.1493168,-59.5546293 13.14932,-59.5539933 13.1493263,-59.5534755 13.1493315)",residential,,,yes,,,,,,,
"LINESTRING (-59.5529627 13.1495044,-59.5526429 13.1494695,-59.5520041 13.1496182,-59.5514725 13.149767)",residential,,,yes,,,,,,,
"LINESTRING (-59.5529231 13.1500074,-59.5515452 13.1503493,-59.5514971 13.1503753)",residential,,,,,,,,,,
"LINESTRING (-59.5512339 13.1450164,-59.5508814 13.1454065)",residential,,,yes,,,,,,,
"LINESTRING (-59.5508814 13.1454065,-59.5504578 13.1458286,-59.5503268 13.1459223)",residential,,,yes,,,,,,,
"LINESTRING (-59.5496613 13.1456692,-59.5495865 13.1448511)",residential,,,yes,,,,,,,
"LINESTRING (-59.5490379 13.1458067,-59.5491452 13.1458245,-59.5493143 13.1457707,-59.5495563 13.1456925,-59.5496613 13.1456692,-59.5498163 13.1456404,-59.5499467 13.1456524,-59.5500709 13.145704,-59.5502602 13.1458426,-59.5503268 13.1459223)",unclassified,Free Hill,,,,,,,,,
"LINESTRING (-59.550773 13.1468293,-59.5506881 13.1464487,-59.5506479 13.1463878,-59.5505876 13.1463617,-59.550313 13.1463363)",residential,,,,,,,,,,
"LINESTRING (-59.5503268 13.1459223,-59.5503374 13.1460975,-59.550313 13.1463363,-59.5502521 13.1469326,-59.5501402 13.1477376)",unclassified,Hope Road,,,,,,,,,
"LINESTRING (-59.5501402 13.1477376,-59.5500087 13.1473176,-59.5499685 13.147161,-59.549935 13.147124)",residential,,,,,,,,,,
"LINESTRING (-59.549935 13.147124,-59.5498613 13.147111,-59.5485391 13.1473284)",residential,,,,,,,,,,
"LINESTRING (-59.5460634 13.145725,-59.5461657 13.1458701,-59.5462978 13.146075,-59.5463625 13.1462073,-59.5464521 13.1463106,-59.5467547 13.1469287,-59.5469144 13.147076,-59.5470826 13.1471538,-59.547112 13.1472398,-59.5471582 13.1482876,-59.5473474 13.1487011,-59.5475281 13.1488648,-59.5478056 13.1490776,-59.5479527 13.1492209,-59.5481839 13.1493191,-59.5484193 13.1493519,-59.5487096 13.1494703,-59.5489143 13.1495608,-59.5491801 13.1495975,-59.5494816 13.1496004,-59.5496047 13.1496016,-59.5503459 13.1495949,-59.5506777 13.1495919)",residential,Middleton,,,,,40,,,,
"LINESTRING (-59.5515993 13.1480581,-59.5515346 13.1481603,-59.551443 13.1482038,-59.5513447 13.1482081,-59.5502543 13.1482279)",residential,,,,,,,,,,
"LINESTRING (-59.5501402 13.1477376,-59.5501999 13.1480528,-59.5502543 13.1482279,-59.5506777 13.1495919,-59.5507671 13.1498709,-59.5508632 13.1499481)",unclassified,Hope Road,,,,,,,,,
"LINESTRING (-59.5503459 13.1495949,-59.5503548 13.1499664,-59.5503392 13.1500055)",residential,,,,,,,,,,
"LINESTRING (-59.5508632 13.1499481,-59.5509718 13.1500371,-59.5510812 13.1501023,-59.5511437 13.1502132,-59.5511705 13.1505068,-59.5511259 13.1509918)",residential,,,,,,,,,,
"LINESTRING (-59.5503392 13.1500055,-59.5503068 13.1500273,-59.54983 13.150036)",residential,,,,,,,,,,
"LINESTRING (-59.5494816 13.1496004,-59.5495296 13.1497881,-59.5496658 13.1500447)",residential,,,,,,,,,,
"LINESTRING (-59.5525497 13.1504222,-59.5525737 13.1508124,-59.5526125 13.1512924,-59.5526071 13.1513327,-59.5525817 13.1513548)",residential,,,,,,,,,,
"LINESTRING (-59.5525737 13.1508124,-59.5515114 13.1509039)",residential,,,,,,,,,,
"LINESTRING (-59.5514971 13.1503753,-59.5514784 13.150404,-59.5514677 13.1504846,-59.5515114 13.1509039,-59.5515679 13.151416)",residential,,,,,,,,,,
"LINESTRING (-59.5525817 13.1513548,-59.551632 13.1514459,-59.5515912 13.1514361,-59.5515679 13.151416)",residential,,,,,,,,,,
