WKT,highway,name,surface,noname,oneway,lanes,maxspeed,ref,service,junction,source_1
"LINESTRING (-59.6193239 13.1020778,-59.6193413 13.10245,-59.6194084 13.1035407,-59.619454 13.1039234,-59.6194966 13.10538)",residential,7th Avenue New Orleans,,,,,,,,,
"LINESTRING (-59.6190061 13.1055143,-59.6189202 13.1039874,-59.6188867 13.1035407,-59.6187657 13.1026444)",residential,5th Avenue New Orleans,,,,,,,,,
"LINESTRING (-59.6192682 13.1055516,-59.6191724 13.1039743,-59.6191281 13.1035785,-59.6190919 13.1031018,-59.6190624 13.1025519,-59.6190718 13.102467,-59.6190651 13.1023311,-59.6190731 13.1021797,-59.6190255 13.1019099)",residential,6th Avenue New Orleans,asphalt,,,,,,,,
"LINESTRING (-59.6131012 13.1060176,-59.6134798 13.1060673,-59.6136159 13.1060756,-59.6137286 13.1060735,-59.6138658 13.1060663,-59.613988 13.1060445,-59.6141273 13.1060145,-59.614272 13.1059721,-59.6144187 13.1059234,-59.614608 13.1058436,-59.6151567 13.1055588,-59.6156894 13.1052854,-59.6159186 13.1051663,-59.6168889 13.1046588,-59.616975 13.1046257,-59.6170441 13.1046122,-59.617142 13.1046122,-59.617243 13.1046278,-59.6173472 13.1046547)",secondary,Passage Road,asphalt,,,2,,,,,
"LINESTRING (-59.6159186 13.1051663,-59.6159494 13.1053237,-59.6159579 13.1053983,-59.6159696 13.1055692,-59.6159728 13.1058892,-59.6159686 13.1061564,-59.6159643 13.1062268,-59.6159569 13.10629,-59.6159484 13.1063418,-59.6159271 13.1064039)",residential,,,yes,,,,,,,
"LINESTRING (-59.6195948 13.1019524,-59.6195868 13.1020333,-59.6195868 13.1021,-59.6195908 13.1021796,-59.6196055 13.1023534,-59.6196766 13.1035041,-59.6196806 13.1038933,-59.6197128 13.1044805,-59.6197517 13.1050689,-59.6197544 13.1051355,-59.619745 13.1051967,-59.6196724 13.1052636,-59.6194966 13.10538,-59.6192682 13.1055516,-59.6191432 13.1056277)",residential,8th Avenue New Orleans,asphalt,,,,,,,,
"LINESTRING (-59.6180901 13.105822,-59.6179293 13.1060844)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6169825 13.1064329,-59.6160791 13.1061854)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6138925 13.1062334,-59.614092 13.1068124,-59.6147417 13.1066925,-59.6153404 13.1066139,-59.6153956 13.1063575,-59.6153871 13.1061424,-59.6153064 13.1058985,-59.6151567 13.1055588)",residential,Passage Garden,,,,,,,,,
"LINESTRING (-59.6181299 13.1062438,-59.6179293 13.1060844,-59.6173249 13.1056955)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6157123 13.1063842,-59.6159271 13.1064039,-59.6168985 13.1066949)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6209477 13.1058084,-59.6206484 13.103807)",residential,10th Avenue,,,,,,,,,
"LINESTRING (-59.6183781 13.1060461,-59.6181299 13.1062438,-59.6180808 13.1062829,-59.6180097 13.1063794)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6179087 13.1049404,-59.6180444 13.1050259,-59.6183957 13.1052041,-59.6186998 13.1053393,-59.6190061 13.1055143,-59.6190795 13.1055652,-59.6191432 13.1056277,-59.6192542 13.1057716,-59.6194623 13.1061222,-59.6194881 13.1061655,-59.619655 13.1064467)",secondary,Westbury Road,asphalt,,,2,,,,,
"LINESTRING (-59.619655 13.1064467,-59.6198735 13.1062769,-59.6204086 13.1057428,-59.6206075 13.1056218)",residential,Hawkins Road,asphalt,,,,,,,,
"LINESTRING (-59.6192542 13.1057716,-59.6187129 13.1062155,-59.6186437 13.1063831,-59.6186811 13.1066144,-59.6188607 13.1066946,-59.6190552 13.1066563,-59.6192478 13.1064596,-59.6194881 13.1061655)",service,,asphalt,yes,yes,,,,,,
"LINESTRING (-59.6213545 13.1057126,-59.6221446 13.1065635)",residential,4th Ave Pickwick Gap,,,,,,,,,
"LINESTRING (-59.6198185 13.1067146,-59.6198695 13.1066784,-59.6199041 13.1066489,-59.6200535 13.1065085,-59.6202619 13.1063024,-59.620583 13.1060052,-59.6206426 13.1059555,-59.6206989 13.1059141,-59.6207755 13.1058726,-59.6208754 13.1058302,-59.6209477 13.1058084,-59.6210583 13.1057794,-59.6213545 13.1057126,-59.6214656 13.1056924,-59.6214943 13.1056862,-59.6215156 13.1056733,-59.6215283 13.1056572,-59.6215342 13.105636,-59.6215337 13.1056153,-59.6214582 13.1051381)",residential,Pickwick Gap,asphalt,,,,,,,,
"LINESTRING (-59.6202619 13.1063024,-59.6208546 13.1069033)",residential,2nd Ave Pickwick Gap,,,,,,,,,
"LINESTRING (-59.621652 13.1067322,-59.6208754 13.1058302)",residential,3rd Ave Pickwick Gap,,,,,,,,,
"LINESTRING (-59.6133181 13.104706,-59.6133043 13.1047629,-59.6132905 13.1048287,-59.613265 13.105098,-59.6132448 13.1052761,-59.6132214 13.1054066,-59.6131012 13.1060176)",secondary,Whitepark Road,asphalt,,,2,,,,,
"LINESTRING (-59.6130066 13.1064733,-59.613212 13.1064555,-59.613332 13.1064154,-59.613604 13.1063271,-59.6138925 13.1062334)",residential,Alleyne's Lane,asphalt,,,,,,,,
"LINESTRING (-59.6122655 13.1061591,-59.6123728 13.1058302)",residential,,,yes,,,,,,,
"LINESTRING (-59.6128707 13.1063524,-59.6122655 13.1061591)",residential,,,yes,,,,,,,
"LINESTRING (-59.6122655 13.1061591,-59.6117797 13.1059981)",residential,,,yes,,,,,,,
"LINESTRING (-59.6115578 13.1054739,-59.6114624 13.1060384,-59.6114624 13.1060648,-59.6114671 13.1060938,-59.6114788 13.1061146,-59.6114932 13.1061306,-59.611515 13.1061446,-59.6120353 13.1064122,-59.6121095 13.106534,-59.6121201 13.1065579,-59.6121265 13.1065822,-59.6121238 13.1066045,-59.6121175 13.1066299,-59.6119389 13.1068923)",residential,,,,,,,,,,
"LINESTRING (-59.6249662 13.1362453,-59.6246101 13.1360338,-59.6243112 13.1358733,-59.6241729 13.1358193,-59.6240562 13.1357816,-59.6239094 13.1357475,-59.6237639 13.1357302)",trunk,Gordon Cummins Highway,asphalt,,,3,80,ABC,,,
"LINESTRING (-59.6244795 13.138085,-59.6239325 13.1380947)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6231547 13.1375556,-59.6231425 13.1380038,-59.6231113 13.1382533)",residential,,,yes,,,,,,,
"LINESTRING (-59.6237318 13.1366245,-59.6237941 13.1370119)",service,,,,,,,,,,
"LINESTRING (-59.6235822 13.1398305,-59.6235948 13.1397278,-59.623602 13.1395227,-59.6236431 13.1391601,-59.6237976 13.1386732,-59.6239028 13.1382463,-59.6239325 13.1380947,-59.6240001 13.137792,-59.6240258 13.1376189,-59.6240385 13.1374731,-59.6240506 13.137166,-59.6240286 13.1368684,-59.6240014 13.136629,-59.6239767 13.1363506,-59.6239171 13.1360514,-59.6237639 13.1357302)",secondary,Husbands Main Road,asphalt,,,2,60,,,,
"LINESTRING (-59.6243112 13.1358733,-59.6241546 13.1358685,-59.6240926 13.1358812,-59.624039 13.1359041,-59.6239632 13.1359706,-59.6239171 13.1360514)",trunk_link,,asphalt,,yes,,,,,,
"LINESTRING (-59.6233576 13.1360152,-59.6231538 13.1360466,-59.623083 13.1360836,-59.6230465 13.1361615,-59.6230036 13.1363078,-59.6230036 13.1364749,-59.6230426 13.1366774)",residential,,,yes,,,,,,,
"LINESTRING (-59.6233284 13.135749,-59.6234073 13.1356792,-59.623453 13.1356121,-59.6234733 13.1354758)",trunk_link,Cave Hill Road,asphalt,,yes,,,,,,
"LINESTRING (-59.6238885 13.1348546,-59.6236036 13.1347032,-59.6235073 13.1347084,-59.623225 13.1348421,-59.6229779 13.1350452)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6236603 13.1329559,-59.6241395 13.133521)",residential,Robinson Close,,,,,,,,,
"LINESTRING (-59.6234996 13.1330574,-59.6233764 13.1328978,-59.6234122 13.1328661,-59.6234364 13.132818,-59.6234443 13.1327641,-59.6234404 13.1327156,-59.623414 13.1326598,-59.62315 13.1323297,-59.6231179 13.1322868,-59.6230625 13.1321935)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6233764 13.1328978,-59.623321 13.1329163,-59.6232703 13.1329227,-59.6232074 13.13292,-59.6231478 13.1329072,-59.6231038 13.1328842,-59.6230535 13.1328364,-59.622994 13.1327559,-59.6229676 13.13271,-59.6229584 13.1326615,-59.6229577 13.1326201,-59.6229932 13.1323922,-59.6230118 13.1323001,-59.6230204 13.1322643,-59.6230625 13.1321935)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6230625 13.1321935,-59.6230734 13.1321356,-59.6230899 13.1320098,-59.6231086 13.1319151,-59.6231029 13.1318649)",residential,Philips Road,,,,,,,,,
"LINESTRING (-59.6231029 13.1318649,-59.6234189 13.1316134)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6228763 13.1317006,-59.6231029 13.1318649)",residential,Philips Road,,,,,,,,,
"LINESTRING (-59.6233796 13.1309966,-59.6236024 13.131133)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6237206 13.1308799,-59.6234794 13.1307081,-59.6232797 13.1305763)",residential,Grand View Drive,asphalt,,,,,,,,
"LINESTRING (-59.6231242 13.1302375,-59.6231734 13.1299323)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6237709 13.1299491,-59.6234721 13.1296827)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6233148 13.1298069,-59.6232104 13.1296991,-59.6230036 13.1294828)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6243743 13.1292545,-59.6242242 13.1293796,-59.6240762 13.1295686,-59.6240558 13.1296411,-59.6240664 13.1297145,-59.6242274 13.1298816)",residential,,,yes,,,,,,,
"LINESTRING (-59.6232569 13.1292384,-59.6235596 13.1295423)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6236188 13.1288998,-59.6239065 13.1291902,-59.6239145 13.1292137,-59.6239138 13.1292359,-59.6239051 13.1292588,-59.6238904 13.1292773,-59.6235596 13.1295423,-59.6235634 13.1295649,-59.6235602 13.1295872,-59.6235484 13.1296088,-59.6234721 13.1296827,-59.6233148 13.1298069,-59.6231734 13.1299323)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6238178 13.1286607,-59.6243743 13.1292545,-59.6249749 13.1298063,-59.625205 13.1299966,-59.6251999 13.1301054,-59.6250638 13.1302507,-59.6250509 13.1303073,-59.6261063 13.1316108,-59.6263355 13.1318939,-59.6265614 13.1322377,-59.6265587 13.1323639,-59.6264515 13.1326701,-59.6264529 13.1327612,-59.6265362 13.1328692,-59.6267191 13.1329795)",residential,Goddard Road,asphalt,,,,,,,,
"LINESTRING (-59.6255535 13.1255666,-59.6249713 13.127003,-59.6248955 13.1271875,-59.6248211 13.1273591,-59.6247267 13.1275219,-59.6245425 13.1277457,-59.624398 13.1279332,-59.6242156 13.1281662,-59.6240146 13.1284113,-59.6238178 13.1286607,-59.6236188 13.1288998,-59.6233224 13.1291795,-59.6232569 13.1292384,-59.6231036 13.1293866,-59.6230036 13.1294828,-59.6229592 13.1295327,-59.6229468 13.1295626,-59.6229421 13.1295879,-59.6229412 13.1296146,-59.6229449 13.1296408,-59.6229556 13.1296718,-59.6229843 13.1297183,-59.6231734 13.1299323,-59.6236652 13.1304095,-59.6237241 13.1304832,-59.6237616 13.1305459,-59.6237814 13.1306073,-59.6237853 13.1306792,-59.6237744 13.1307518,-59.6237206 13.1308799,-59.6236024 13.131133,-59.6234713 13.1314503)",tertiary,St Stephens Hill,asphalt,,,2,,,,,
"LINESTRING (-59.6321835 13.1400981,-59.6327579 13.1401036)",residential,Hopefield Close,,,,,,,,,
"LINESTRING (-59.6321748 13.1407013,-59.6326525 13.1407032,-59.6330531 13.1406327)",residential,Donhead Close,,,,,,,,,
"LINESTRING (-59.6317443 13.1380378,-59.6318701 13.1381725,-59.6319939 13.1384438,-59.6320677 13.1386698,-59.6322052 13.1390272,-59.6322488 13.1395044,-59.6322256 13.1397852,-59.6321835 13.1400981,-59.6321748 13.1407013,-59.6321438 13.1412943,-59.6321378 13.1415275)",residential,Walton Drive,asphalt,,,,,,,,
"LINESTRING (-59.6318984 13.1411871,-59.6319185 13.141163,-59.63193 13.1411259,-59.6319008 13.1408399,-59.6318736 13.1405724)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6318736 13.1405724,-59.631838 13.1405394,-59.6317913 13.1405328,-59.6306156 13.1406822)",residential,8th Avenue Wanstead Terrace,asphalt,,,,,,,,
"LINESTRING (-59.6306558 13.1409871,-59.6319008 13.1408399)",track,,unpaved,yes,,,,,,,
"LINESTRING (-59.6331272 13.1412983,-59.6331853 13.1413419,-59.6332216 13.1413986,-59.633419 13.1420171)",residential,Farrington Close,,,,,,,,,
"LINESTRING (-59.6321438 13.1412943,-59.6331272 13.1412983)",residential,Farrington Close,,,,,,,,,
"LINESTRING (-59.6325937 13.1423789,-59.6325752 13.1420269)",residential,,,,,,,,,,
"LINESTRING (-59.6318984 13.1411871,-59.6306951 13.1413371)",residential,10th Avenue Wanstead Terrace,asphalt,,,,,,,,
"LINESTRING (-59.6300031 13.1385648,-59.6301104 13.1388796,-59.6302177 13.1391969,-59.6303277 13.139513,-59.6304269 13.1398055,-59.6305422 13.1401307,-59.6305771 13.1403514,-59.6306156 13.1406822,-59.6306558 13.1409871,-59.6306951 13.1413371,-59.63073 13.1416326)",tertiary,Wanstead Drive,asphalt,,,,40,,,,
"LINESTRING (-59.6305422 13.1401307,-59.6295767 13.1404508)",residential,7th Avenue Wanstead Terrace,asphalt,,,,,,,,
"LINESTRING (-59.6295767 13.1404508,-59.6295228 13.1404963,-59.6295027 13.140555,-59.6295354 13.1410454,-59.6295666 13.1410937,-59.6296206 13.1411222)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6279311 13.1403896,-59.6288847 13.140293)",residential,Carnation Drive,,,,,,,,,
"LINESTRING (-59.6290214 13.1419036,-59.6289865 13.141549,-59.6289236 13.1409527,-59.6288847 13.140293,-59.6288216 13.1396341,-59.6287572 13.1395929)",residential,Lily Drive,,,,,,,,,
"LINESTRING (-59.6279909 13.1410544,-59.6289236 13.1409527)",residential,Daisy Drive,,,,,,,,,
"LINESTRING (-59.6296206 13.1411222,-59.6306558 13.1409871)",residential,9th Avenue Wanstead Terrace,asphalt,,,,,,,,
"LINESTRING (-59.63073 13.1416326,-59.6296742 13.1417955,-59.6294613 13.1418308)",residential,Wanstead Gardens Heights,asphalt,,,,,,,,
"LINESTRING (-59.6294613 13.1418308,-59.6290214 13.1419036,-59.6285181 13.1420037,-59.6283073 13.1420438,-59.6280628 13.1420572,-59.6278516 13.1420507,-59.6276835 13.1420257,-59.6275611 13.1419972)",residential,Wanstead Gardens Heights,asphalt,,,,,,,,
"LINESTRING (-59.6307729 13.1424933,-59.630455 13.1424425,-59.6299945 13.1423845,-59.6298087 13.142404,-59.6297112 13.1424421,-59.6296411 13.1425097)",residential,,,yes,,,,,,,
"LINESTRING (-59.627583 13.1415776,-59.6274865 13.1414951,-59.62739 13.1412954,-59.627356 13.1411431,-59.6270627 13.1399522)",residential,Rose Drive,,,,,,,,,
"LINESTRING (-59.6264961 13.1394344,-59.6266273 13.1399769)",residential,Wanstead Gardens Heights,asphalt,,,,,,,,
"LINESTRING (-59.6263601 13.1400042,-59.6266273 13.1399769)",residential,,unpaved,yes,,,,,,,
"LINESTRING (-59.625872 13.1400397,-59.6263601 13.1400042)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6254546 13.1394362,-59.6256435 13.1396562,-59.6257851 13.1398541,-59.625872 13.1400397,-59.6259353 13.1404601,-59.6259455 13.140551,-59.6259894 13.1410453)",residential,Wanstead Gardens Main Road,asphalt,,,,,,,,
"LINESTRING (-59.6269066 13.1410533,-59.6267638 13.1405027,-59.6266273 13.1399769)",residential,Wanstead Gardens Heights,asphalt,,,,,,,,
"LINESTRING (-59.6259455 13.140551,-59.6267638 13.1405027)",residential,,,yes,,,,,,,
"LINESTRING (-59.6254102 13.1405867,-59.625512 13.1406738,-59.6255778 13.1407476,-59.6256573 13.1408837,-59.6257008 13.1410352,-59.6257465 13.1414188)",residential,Husbands Heights,asphalt,,,,,,,,
"LINESTRING (-59.6289865 13.141549,-59.6287885 13.1415836,-59.6284318 13.1416575,-59.6281821 13.1416799,-59.6279085 13.1416673,-59.627744 13.1416534,-59.627583 13.1415776)",residential,Rose Drive,,,,,,,,,
"LINESTRING (-59.6270025 13.1413658,-59.6269066 13.1410533)",residential,Wanstead Gardens Heights,asphalt,,,,,,,,
"LINESTRING (-59.6275611 13.1419972,-59.6274354 13.1419273,-59.6272772 13.1418049,-59.6271223 13.1416398,-59.627059 13.1415293,-59.6270025 13.1413658)",residential,Wanstead Gardens Heights,asphalt,,,,,,,,
"LINESTRING (-59.6259894 13.1410453,-59.6260313 13.1410849,-59.6260983 13.1411055,-59.6269066 13.1410533)",residential,Wanstead Gardens Main Road,asphalt,,,,,,,,
"LINESTRING (-59.6270025 13.1413658,-59.626685 13.1413956,-59.6264318 13.1414054)",residential,Husbands Heights,,,,,,,,,
"LINESTRING (-59.6264318 13.1414054,-59.6257465 13.1414188)",residential,Husbands Heights,,,,,,,,,
"LINESTRING (-59.6250663 13.1401885,-59.6250502 13.1397053)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6245191 13.1402407,-59.6245135 13.1397328)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6230666 13.1408458,-59.6232308 13.1408835,-59.6234502 13.1409047,-59.6237386 13.1408419,-59.6240657 13.1407365,-59.6241495 13.1407097,-59.6243231 13.1406625,-59.6246711 13.140542,-59.6249132 13.1404867,-59.6250313 13.1404759,-59.625169 13.14048,-59.6252987 13.1405238,-59.6254102 13.1405867)",residential,Husbands Heights,asphalt,,,,,,,,
"LINESTRING (-59.6239826 13.1397601,-59.6239612 13.1400213,-59.6239505 13.1402825,-59.6239603 13.1404072,-59.6239947 13.1405464,-59.6240657 13.1407365)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6235492 13.1405454,-59.6239603 13.1404072)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6230666 13.1408458,-59.6231637 13.1406423,-59.6232839 13.1404551,-59.6234454 13.1401743,-59.6235548 13.1399291,-59.6235822 13.1398305)",secondary,Husbands Main Road,asphalt,,,2,60,,,,
"LINESTRING (-59.6242907 13.1412813,-59.6247329 13.1411479,-59.624896 13.1411228,-59.6249818 13.1411395)",residential,Dracaena Avenue,,,,,,,,,
"LINESTRING (-59.6249818 13.1411395,-59.6250472 13.1411925,-59.6250868 13.1412878,-59.6251449 13.1416911,-59.6251792 13.141875,-59.6252718 13.1420495,-59.6254877 13.1422571,-59.6255484 13.1423269,-59.6255774 13.1425569)",residential,Dracaena Avenue,,,,,,,,,
"LINESTRING (-59.6248012 13.1418826,-59.6244553 13.1419641)",service,,,,,,,,,,
"LINESTRING (-59.6229442 13.1414582,-59.6229654 13.1413005,-59.6229795 13.141166,-59.6229943 13.1410493,-59.6230234 13.1409415,-59.6230666 13.1408458)",secondary,Husbands Main Road,asphalt,,,2,60,,,,
"LINESTRING (-59.6232365 13.1415634,-59.6232517 13.1415047,-59.623284 13.1414699,-59.6235838 13.1414732,-59.6236415 13.1414834)",residential,Husbands Heights,asphalt,,,,,,,,
"LINESTRING (-59.6229074 13.1417615,-59.6229442 13.1414582)",secondary,Husbands Main Road,asphalt,,,2,60,,,,
"LINESTRING (-59.6275611 13.1419972,-59.6277248 13.1428002)",residential,,,,,,,,,,
"LINESTRING (-59.6263081 13.1424477,-59.6255774 13.1425569,-59.6246345 13.1427079)",residential,Husbands Heights,,,,,,,,,
"LINESTRING (-59.6253753 13.1294532,-59.6249749 13.1298063)",residential,,,yes,,,,,,,
"LINESTRING (-59.6259775 13.1297124,-59.6253663 13.1301199)",residential,,,,,,,,,,
"LINESTRING (-59.625205 13.1299966,-59.6253663 13.1301199,-59.625426 13.1301655,-59.6257505 13.130329,-59.626066 13.130413,-59.6262158 13.1305434,-59.6263451 13.1307313)",residential,,,,,,,,,,
"LINESTRING (-59.6261063 13.1316108,-59.6259837 13.1317015,-59.6258255 13.1315605)",service,,,,,,,,driveway,,
"LINESTRING (-59.6250535 13.1337978,-59.6247938 13.1340042,-59.6246599 13.1342322,-59.6246036 13.1346855,-59.6245863 13.1347205,-59.624097 13.1351133,-59.6240063 13.1352821,-59.6239856 13.1353544,-59.6239956 13.1354284)",residential,Robinson Close,,,,,,,,,
"LINESTRING (-59.6258213 13.135369,-59.625659 13.1352078,-59.6254395 13.1350902)",service,,,,,,,,,,
"LINESTRING (-59.6253924 13.1357882,-59.6251995 13.1355942)",service,,,,,,,,,,
"LINESTRING (-59.6252911 13.1346044,-59.6247586 13.1358162)",residential,,,,,,,,,,
"LINESTRING (-59.6239956 13.1354284,-59.6240296 13.1354858,-59.6241029 13.1355224,-59.6243175 13.1355537,-59.6243802 13.1355706,-59.6247586 13.1358162,-59.6251184 13.1360559)",residential,Robinson Close,,,,,,,,,
"LINESTRING (-59.6263344 13.1348676,-59.6258213 13.135369,-59.6253924 13.1357882,-59.6251184 13.1360559,-59.6249662 13.1362453)",residential,Pleasant View Road,asphalt,,,,40,,,,
"LINESTRING (-59.6268742 13.1353126,-59.6257787 13.1363509)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6247643 13.1367492,-59.6243972 13.136795,-59.6243837 13.1368118,-59.6243768 13.1368313)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6260779 13.136921,-59.6255508 13.1366112,-59.6249662 13.1362453)",trunk,Gordon Cummins Highway,asphalt,,,3,80,ABC,,,
"LINESTRING (-59.6243768 13.1368313,-59.6244203 13.1374367)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6249604 13.1376798,-59.6249426 13.137546,-59.624913 13.1375001,-59.624842 13.1374282,-59.6247784 13.1374154,-59.6247148 13.1374085,-59.6244203 13.1374367,-59.6243503 13.1374466,-59.6240385 13.1374731)",residential,Wanstead Gardens Main Road,asphalt,,,,40,,,,
"LINESTRING (-59.6243841 13.1378582,-59.6243503 13.1374466)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.62551 13.1372364,-59.625545 13.1376442)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6258235 13.1373463,-59.6258497 13.137617)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6267343 13.1380793,-59.6266152 13.1379595,-59.6265706 13.1378702,-59.6265254 13.1377332,-59.6264743 13.1376603,-59.6264048 13.1376064,-59.6263075 13.1375942,-59.6260255 13.13761,-59.6258497 13.137617,-59.6257087 13.1376291,-59.625545 13.1376442,-59.6252616 13.1376678,-59.6249604 13.1376798)",residential,Wanstead Gardens,,,,,,,,,
"LINESTRING (-59.625545 13.1376442,-59.6255654 13.1382384,-59.625612 13.1383604,-59.6256937 13.1384002,-59.6257711 13.1384226,-59.6258771 13.1384178,-59.625997 13.1383893,-59.6261179 13.1382919,-59.6262467 13.1381312,-59.6263714 13.137998,-59.6265706 13.1378702)",residential,Wanstead Gardens,asphalt,,,,,,,,
"LINESTRING (-59.6240264 13.1393057,-59.6240899 13.1392377,-59.6242831 13.139175,-59.6244869 13.1391855,-59.6246264 13.1392273)",residential,,,yes,,,,,,,
"LINESTRING (-59.6252728 13.1392327,-59.6256878 13.1389452,-59.6261426 13.1389253)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6249604 13.1376798,-59.6249912 13.1385064,-59.6250274 13.138748,-59.6251226 13.1389883,-59.6252728 13.1392327,-59.6254546 13.1394362)",residential,Wanstead Gardens Main Road,asphalt,,,,,,,,
"LINESTRING (-59.6239826 13.1397601,-59.6239943 13.1396605,-59.6240089 13.1394902,-59.6240264 13.1393057)",residential,,,yes,,,,,,,
"LINESTRING (-59.6246264 13.1392273,-59.6246872 13.1392928,-59.6247498 13.1393657,-59.6248088 13.1394676,-59.6248351 13.1397163)",residential,,,yes,,,,,,,
"LINESTRING (-59.6254546 13.1394362,-59.6252379 13.1396556,-59.6251513 13.1396924,-59.6250502 13.1397053,-59.6248351 13.1397163,-59.6245135 13.1397328,-59.6239826 13.1397601)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.6256435 13.1396562,-59.6257829 13.1395187,-59.625873 13.1394915,-59.6264961 13.1394344)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.568858 13.06926,-59.5687884 13.0695128,-59.5685903 13.069878)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.5685129 13.0701455,-59.5686568 13.0699739)",primary,St. Lawrence Main Road,asphalt,,yes,,,H7,,,
"LINESTRING (-59.5686568 13.0699739,-59.5687014 13.0701936)",primary,St. Lawrence Main Road,asphalt,,yes,,,H7,,,
"LINESTRING (-59.5706421 13.0694633,-59.5704606 13.0696703,-59.5703496 13.0697653,-59.5702255 13.0698032,-59.5701764 13.0698098,-59.5701111 13.0697903,-59.5700425 13.0697543,-59.5696487 13.0694465,-59.5695101 13.0693601,-59.5694557 13.0692993)",residential,,asphalt,yes,,,,,,,
"LINESTRING (-59.5706486 13.0700804,-59.5708142 13.0699263,-59.5709177 13.0697283,-59.5709318 13.0696759)",residential,,,yes,,,,,,,
"LINESTRING (-59.5687132 13.0705256,-59.5687259 13.0708614)",primary,Graeme Hall Road,asphalt,,yes,,,,,,
"LINESTRING (-59.5710071 13.0704294,-59.5711117 13.0702782,-59.571225 13.0700689)",residential,3rd,,,,,,,,,
"LINESTRING (-59.5701764 13.0698098,-59.5702054 13.0703124,-59.5702035 13.0704221,-59.5701861 13.0705841,-59.5701365 13.070814)",service,,,,,,,,,,
"LINESTRING (-59.5713245 13.0707516,-59.5715107 13.0705243,-59.5716028 13.0703518,-59.5717067 13.0701701)",residential,2nd,,,,,,,,,
"LINESTRING (-59.5686568 13.0699739,-59.5687116 13.0698606,-59.5688084 13.0696886,-59.5689118 13.0695664,-59.5690122 13.0694435,-59.5692159 13.0693654,-59.5692986 13.0693323,-59.5693796 13.0693101,-59.5694557 13.0692993,-59.5695891 13.0693063,-59.5697005 13.0693269,-59.5700207 13.0693803,-59.5702963 13.0694159,-59.5706421 13.0694633,-59.5709021 13.0694876,-59.5711245 13.0694911,-59.5718044 13.0694488,-59.5726321 13.0694054,-59.5728246 13.0693927,-59.5729944 13.0693888,-59.5731215 13.0694032,-59.5733257 13.0694536,-59.5734683 13.0694919,-59.5735717 13.0695074,-59.5736953 13.0695024,-59.5742109 13.0693613,-59.574882 13.069196,-59.5752601 13.0691254,-59.5757604 13.0690168)",primary,St. Lawrence Main Road,asphalt,,no,2,,H7,,,
"LINESTRING (-59.5723895 13.0707735,-59.5720526 13.0705935)",residential,Beckles Road,,,,,,,,,
"LINESTRING (-59.5733257 13.0694536,-59.5725898 13.0707224,-59.5724788 13.0707684,-59.5723895 13.0707735)",residential,Shelbourne Road,asphalt,,,,,,,,
"LINESTRING (-59.5726321 13.0694054,-59.5720526 13.0705935,-59.5718236 13.0710171,-59.5718021 13.0710465,-59.5717722 13.0710678,-59.5717378 13.0710753,-59.5716979 13.0710638,-59.5713245 13.0707516,-59.5711242 13.0705496,-59.5710071 13.0704294,-59.5707333 13.0701696,-59.5706486 13.0700804,-59.5703496 13.0697653)",residential,Harmony Hall,asphalt,,,,,,,,
"LINESTRING (-59.5752313 13.0704648,-59.5745049 13.0705799,-59.5740383 13.0705828,-59.5735127 13.0705943,-59.5731849 13.0706777,-59.5729546 13.0708158,-59.5727272 13.0708819,-59.5725087 13.0708043,-59.5724788 13.0707684)",track,,,,,,,,,,
